Accession,luminal protein estrus,luminal protein 0.5,luminal protein 1.5,luminal protein 2.5
Q9D1A2,0.8282298947346111,0.8059900136116342,0.8070552272944445,0.8036318690833787
P24527,0.774131356069425,0.7547663400700425,0.7643873514947614,0.7887970391542615
P26040,0.807840376572554,0.793370421691149,0.7926821223828251,0.8200724916538712
Q8CGC7,0.7586640739098317,0.7340601587650749,0.7571787683044453,0.7552346000820397
P37804,0.8306665006591322,0.8199928657980506,0.8365608999285848,0.8480311679347643
P15626,0.8587492449862123,0.8374374208987316,0.8630955609242265,0.8720261144558246
P27546,0.7245554220687511,0.7591194412241349,0.7208195955105092,0.7355976697908467
Q91X72,0.8369515219055408,0.8315118505252957,0.8447490828382546,0.8570843563505035
E9Q5I3,0.7028291949256689,0.7549463030565827,0.7002633251103892,0.7736692864635598
Q61879,0.7605962709489215,0.7562143747816806,0.7514950315345826,0.7506691906869906
O08677,0.801543301986661,0.7939347106982505,0.8067975213894838,0.8165518368582632
Q9DBD0,0.7338250113195759,0.7189952759253394,0.7383304498207519,0.7565043307660624
Q8K0E8,0.8055090980781715,0.7794637454765402,0.8029234371402758,0.812932631336772
Q9D7Z6,0.7604519423019309,0.8312000281431974,0.744887531356981,0.7514437556433916
Q8VCM7,0.7797510419670459,0.7644751537034573,0.7824474295211258,0.792546779776374
P23116,0.8111524459406507,0.7805815837875173,0.7861121390386172,0.8157481375254526
P08113,0.7833352456794429,0.7536140369812718,0.768872843084972,0.7872289964100639
Q9CWJ9,0.770030279304927,0.7595625956041604,0.7642629827989815,0.7764555122027278
O08553,0.7431455063405101,0.7454216146594954,0.7428039580120825,0.7614344008109896
Q8BFW7,0.7326257070299557,0.7195345525903346,0.7409845928935044,0.7671803704578793
Q61768,0.7135249420534123,0.6885161308637318,0.7115392352704824,0.7308039310450305
Q8CI94,0.7619744171075175,0.7338096701133229,0.762251398635503,0.776870644663973
Q9Z1Q9,0.7399196934184938,0.7172486553505145,0.7287318010626551,0.7520086220936881
A0A0A0MQF6,0.8542164596862168,0.8410551478322604,0.8548227007474841,0.8597228948729172
Q00897,0.8692110900108265,0.8667080612942314,0.8806118277487593,0.8855470704952096
P30416,0.7807060780269427,0.7577150948311794,0.7680132876216312,0.7826920702010584
P97449,0.7648008209796763,0.7932315692728958,0.7441039679403569,0.7588963095908184
Q04447,0.8077121348783216,0.8210862931294852,0.8146670493567979,0.830090796679089
A1BN54,0.752959005628876,0.7279005244797853,0.7485899685679338,0.7773888420825444
Q61598,0.7821753363743112,0.7506255487076418,0.7709371760583063,0.7878364445120665
P17563,0.7667345555218956,0.7400635020316637,0.7783216271052106,0.7929529244538615
P06728,0.8023784138824651,0.7859957741237066,0.8049539466622235,0.8148100617648615
Q922D8,0.8038831339614709,0.7847545117241016,0.7900283572578936,0.8309607701880694
Q8CIE6,0.7437986161496851,0.7182071178382955,0.7418176285312149,0.7526560161288774
P27773,0.8054791583561653,0.8047922883350307,0.8001338125126084,0.8100384406755086
Q00612,0.7998170864046757,0.7849495773884055,0.779597444567976,0.786265320739528
P17182,0.8497323092204971,0.8419092359984288,0.8532533740174915,0.8584076751528794
E9PV24,0.7862506685566365,0.7761677395038535,0.7892815563750211,0.7967487319310644
Q61781,0.8432951914267285,0.7969353587658425,0.8294775876092252,0.8776624088436241
P60843,0.7783681403089256,0.7743806307732747,0.7753937139660253,0.7825625858852652
P09411,0.8128608032559855,0.7968567967966024,0.8222039981651442,0.8312316544330242
Q9WU78,0.7336905833080423,0.7261849823100738,0.7260888116717525,0.7428541878255935
P62259,0.8229659509424053,0.799355900831244,0.8203193578916,0.8305723634514532
O55029,0.7124139485725554,0.7003668022842255,0.7128496071260711,0.7404800360648555
Q8VCT3,0.7461402303405313,0.7262547553256121,0.7391400280268478,0.7417667423092412
Q922U2,0.8542781658683382,0.8307842553484802,0.8425639682860049,0.8904301256725865
Q8BND5,0.7233293873931398,0.8056118133657035,0.720382970532559,0.724217531159275
Q6ZQ38,0.7762202999791059,0.7656318885450458,0.7749498341509614,0.7951051247017634
P10649,0.8547510337798722,0.8250386003624371,0.8439385274210643,0.8726559394120014
A0A0R4J071,0.6200192479785055,0.7863717084505871,0.6149520735960304,0.6238622446767692
Q922B2,0.7505313411439738,0.7162695190871058,0.7499590090516266,0.7569424787102185
P20029,0.7933508655800553,0.7667660741983774,0.7850968602651541,0.8037312418997736
Q78PY7,0.7415059193208974,0.7332971544542243,0.7486612352617394,0.7598683987042825
P45376,0.7731792535732923,0.7658495888687084,0.7776167383740242,0.7916646248653175
P42932,0.7803338773553173,0.7600516853377421,0.7802454518154461,0.7896051952044988
P40142,0.8205871939736248,0.8013713394322839,0.8108926895717462,0.8271471416952358
P80318,0.7640934395925721,0.7476648054516836,0.7603636851255693,0.767622922005254
P21981,0.7791040781281277,0.8074156307279794,0.8086499109202073,0.7764922001918114
P26041,0.7601893579271355,0.7542100948859299,0.7689755062521888,0.7841222224491416
B8JJN0,0.7492577001903152,0.7964954188453628,0.759647150756636,0.7655684323184841
P40124,0.7786939383698154,0.7553129550530582,0.7751949278117525,0.7874948313882765
A6X935,0.7242317836925429,0.6997425777336129,0.723575929704861,0.7312466273338889
Q9D0F9,0.7540375684756249,0.7370022653241727,0.7488862890554571,0.7719560154720121
P05213,0.7988835979058965,0.7808955960252518,0.801904879773273,0.8078538147508497
P19221,0.7293067514000633,0.7253818192807526,0.7315797927690216,0.7473598825267674
Q00623,0.8717813830896134,0.8529654920198093,0.8744439201637716,0.8823261951631631
O88342,0.7736802064284162,0.7641338791516427,0.7719379597900893,0.7813691871242048
Q99K51,0.825378400207654,0.8276273259528135,0.8076688267944937,0.8085992955847987
Q3UU35,0.7446407991003996,0.7289900432422369,0.7752659687142445,0.744391284138523
Q9QXS1,0.7069586442583046,0.6965173478969964,0.712400124014617,0.7379243641885994
P07356,0.7971062451561529,0.7938817476189878,0.8104456437863314,0.8189878947762886
P17751,0.8153550141719162,0.8033535123208146,0.8121986905223906,0.8196464215613081
P35700,0.8383152879537104,0.8156246492559269,0.8258461373540702,0.8491916483091632
Q61702,0.6879133512926139,0.6965126818190324,0.7166162991329553,0.7175828226311268
P07901,0.7823775089483638,0.7699848037521465,0.7920971472424693,0.8036503880736524
Q91WT9,0.781483220634076,0.7405638378121399,0.7364708285021593,0.7734522864110097
Q3V117,0.7339189635261054,0.7198645153019125,0.7329249722039786,0.7426692206997899
O88569,0.8802396328678903,0.8887912285043328,0.8799804985864661,0.8735591686783993
P24549,0.7298917536743871,0.7399046584539056,0.7523856753243224,0.7703844221999988
O09131,0.8480887366376005,0.8205909662722154,0.8285478552039691,0.8350794317712146
P63158,0.8056828859826647,0.7846580088924721,0.8100720612640079,0.8149640776836261
P11983,0.727467638277641,0.7105646030983559,0.717765735062347,0.7306528267257967
P19001,0.8371604535457887,0.8185081468720888,0.8354049450904113,0.8655535694677143
Q543K9,0.7726987098466068,0.7535211373988873,0.7701560119488527,0.7721418487772584
Q3UPL0,0.7118502638141287,0.6948713548691353,0.7178233613224043,0.7266747337796413
Q11011,0.7513672336609395,0.7216325217308748,0.7435654240757839,0.7545522306146821
Q7TSV4,0.7412322371701804,0.7256538695471416,0.7488179697346989,0.7645129922780164
A8DUK4,0.8820815832203124,0.8797072118397707,0.9075308189846686,0.914976375087348
O70209,0.7638121356173897,0.7391111509759724,0.7689531022934113,0.7859073409413433
P80313,0.7416525626049298,0.7600563957575104,0.7496020709558807,0.7508624734820533
Q76MZ3,0.7438044491434618,0.7309258120752736,0.7473337123076444,0.7626210982832877
E9Q557,0.732914935450272,0.7051317191881197,0.7290142967248906,0.7578439429784068
A0A1B0GSX0,0.8211856564662378,0.8246458169421682,0.8300035481328389,0.8285302253730814
P60335,0.7535462702923774,0.7353185127906507,0.7488651190165866,0.7661623314290338
Q8C1A5,0.7265118269426131,0.6945826396881573,0.730146442307053,0.7451779591514631
Q9DBJ1,0.7968882578337697,0.8058978402302169,0.7989398353765234,0.8079426600269645
B2M1R6,0.7704094956356953,0.7659610786719089,0.7693185137480633,0.7790429801400195
Q9CPY7,0.7463126161695766,0.7441906137882932,0.753418699402561,0.7546410990138911
Q501J6,0.7177411412692216,0.7213918299808297,0.729335272708109,0.7408384705627893
O35639,0.7488853913428857,0.7287320447511181,0.7556996894170276,0.7553716713890514
P56399,0.8038933413655708,0.7821925895065193,0.814287558501075,0.8351058108188513
P10107,0.7906375760847089,0.781138570777954,0.7970206692515827,0.8057655463859497
Q9DCD0,0.7990664820327117,0.7790093092866369,0.7931986955614119,0.8269948754661051
Q9D8E6,0.7423050117599425,0.7135839689070292,0.7341501189783647,0.753414766572736
E9QA15,0.7139961136108268,0.6753124184232865,0.7156119302275517,0.7437761085630457
Q64737,0.7117354495919098,0.7049563562691176,0.7115817278596185,0.7380873274385229
P29341,0.7371000304150436,0.7164715006730884,0.7358408469054596,0.7481341350045074
Q9QZE5,0.7070476144995267,0.6847802519995492,0.7067746029594026,0.7212203858424753
Q5SUR0,0.7259955860622325,0.7094779949481441,0.7361895294766638,0.7535806057217385
P01029,0.7639249756690297,0.7523685434240904,0.7809111376383684,0.7915557001788945
P70441,0.7398089995283703,0.7285644147219532,0.764000895485418,0.7564640898936101
Q99JY9,0.7583568293533792,0.7411774181007573,0.7592597351099467,0.7739098565089902
O89020,0.7337299090593185,0.7233834539083612,0.744140153264711,0.7575140644561357
Q9Z1Z0,0.7044930729858184,0.6840856255736959,0.7058136691716165,0.7216280475260402
Q9CWK8,0.7404107312380741,0.7131344692583713,0.7339615290124002,0.7470240973125924
Q61699,0.6974145289462218,0.6673443666157967,0.7124127410831084,0.7297821248863047
P10605,0.7365185578622524,0.7697938871182105,0.7292610503868849,0.7314428578299556
Q99KC8,0.7228335899347506,0.7035435977745625,0.7325749613074561,0.7395697960190258
P23953,0.8232129632308326,0.8066544950497949,0.8287631323649282,0.835945086218305
P20152,0.6925091317719921,0.6860053113707445,0.7058985148506137,0.7398629106674739
P47856,0.695528686262646,0.7023385143276659,0.7130471099954568,0.6866666409416041
Q61233,0.7464568169469565,0.755538137966166,0.7579629248696304,0.7777237093103339
P12658,0.8136994259992597,0.7798765974241557,0.788867799002144,0.809679437256989
A0A087WS16,0.7113644962874861,0.6955759674633057,0.69130536739417,0.7111012448941889
P00920,0.7863876649102731,0.7785117174987636,0.7793902207566741,0.7709698409513268
E9PWE8,0.7427737553823265,0.7121890386293783,0.7427777768600585,0.7627753855066061
Q8JZQ9,0.715171150695398,0.6950866253337196,0.709642780477147,0.7374652683093706
P50580,0.7599530223906698,0.7400048921447936,0.7526442850954713,0.7563751698332711
Q3U1J4,0.7098235172657461,0.7238879388413163,0.700243459667395,0.7134583951749428
P17742,0.8459303110838954,0.8224661423041868,0.8413634393208017,0.851040179815511
P62960,0.6838928062964399,0.6671739830092278,0.683515053448791,0.7067332954541286
Q02257,0.7138733907075602,0.6752376253567107,0.700420600220193,0.7407454996199333
P14211,0.7680824305851024,0.7353150035356033,0.7559971493444338,0.7736389089354142
P09405,0.7786773503017592,0.7540187383368008,0.774145314870203,0.7812254812366239
P48722,0.6818470214695533,0.6508890807925819,0.6947839192666809,0.7246876527706095
Q11136,0.714921135307187,0.7026116941183007,0.7219736089684285,0.7131651098424223
Q61696,0.7671774184291716,0.7441899993171945,0.7642098591983336,0.7726245838099974
Q8BZF8,0.7119632595334847,0.6646619850534725,0.7195605762780892,0.7404034994370572
P46471,0.7080148680338841,0.6853385277646193,0.7018790533909558,0.7121952126681963
P06745,0.7808864707708936,0.7763992549231192,0.7823126331098668,0.7878653219255471
Q8BGQ7,0.7161538286828905,0.6926759770418798,0.7146653305029279,0.7241218589607977
P50247,0.7837017662011831,0.7711960478267224,0.78145069865593,0.8011502127643146
Q6GT24,0.7812078551833096,0.7826197739910583,0.7722999307471405,0.7826133688651842
Q8R146,0.6940694459986453,0.6724548836951028,0.6814555254708343,0.6940209429762628
Q8BL66,0.7262990844585964,0.6934010030401682,0.7167463915994011,0.7644822157023539
Q80T06,0.7592317808648503,0.7456391303121194,0.7444169156555117,0.7662760770764696
P80314,0.7440802583456418,0.7304974100839203,0.7444563219969362,0.7583991741203875
Q91VB8,0.8770013239296585,0.8666912601509895,0.8996753534640302,0.9119601375206997
P28271,0.743367826607264,0.7209375978223656,0.7335276511348074,0.7556786366402983
P06684,0.6773702866868594,0.6579762396277621,0.6824471909191281,0.6968512500977733
P32261,0.7779955408424576,0.7672205068081376,0.7804479728628269,0.7987808470197935
P08003,0.7517018246550105,0.719384535500698,0.741334774149193,0.7587546693508056
P19157,0.7993668610225733,0.759741790881918,0.8030181498530227,0.8046104481003284
O70570,0.7088495252233049,0.7589539766679978,0.7133600385072948,0.7261215784511732
Q62523,0.7358525841973671,0.7145857915682775,0.7331120442591936,0.7660604870738814
E9PYH0,0.667162309216895,0.6806253906588,0.6544768705663209,0.6936269463134253
P62962,0.7959476531286565,0.7801112074949847,0.7962202738792385,0.8081745026616121
P10518,0.7475374074530591,0.7207045578324137,0.7441002978142244,0.7612335076040905
Q8VDM4,0.7179781982990656,0.6884005221214172,0.7060481692596566,0.7299134264071713
P97447,0.7389244358965753,0.7340530316889273,0.758192173979309,0.7772443554490127
P62908,0.7458772454633149,0.7236244234040612,0.7399090823943748,0.7483022859404855
Q9D0I9,0.712196275051415,0.69049308124463,0.7037194767865492,0.7076663686836381
Q8BG05,0.7501826894143306,0.7286594678623224,0.7473477383888414,0.7596664464711828
O88844,0.7694340669432772,0.7533982052006105,0.7702665349486404,0.7900347131431127
Q00519,0.7295114992842706,0.7159108263509685,0.7460398492497025,0.7537739257350509
P63101,0.8119949520054779,0.791170633380788,0.8081672127274823,0.8154128799189134
Q9CZ44,0.708220114173063,0.6744692318020422,0.7033600951096156,0.7243884023819788
P48036,0.8276993878190977,0.8043934619051304,0.823063612201309,0.8337431148530664
Q60864,0.7457418461319854,0.7309842105416008,0.7459521747809957,0.7617113162396022
Q9EQK5,0.7232095394040848,0.7688550816822988,0.7189946700580806,0.7272783757541459
P50446,0.7454744317807709,0.7292885244002391,0.7816326418104249,0.798839627225781
Q8VDJ3,0.7003019858693789,0.6870966587467954,0.6995857508500823,0.6973411522869838
P26645,0.7186966470717245,0.6905267986779037,0.7089850981998718,0.7213083369584948
P47754,0.7133383119688227,0.6854039785076349,0.7063970029038328,0.7295657892276912
P68040,0.7544101959651849,0.7332017832277341,0.7452369608613905,0.7597317660809619
P29699,0.8186290294867944,0.8041556054514808,0.8138792140177101,0.8255482915968131
Q3U0V1,0.7165091711516666,0.6919722391206208,0.7176146146411988,0.7355566603242696
A0A498WGD8,0.7041861435991923,0.6808215405670622,0.6991874838632143,0.7141796519041369
E9PZF0,0.7873476396399554,0.8021616175962144,0.7890985578802682,0.7946665889495422
P48758,0.7607210138228396,0.7300283153265796,0.7532448852209012,0.7788368384522997
P07758,0.8337095391051177,0.8219814737628193,0.8414140321892196,0.846935684847488
Q60854,0.7455499186252371,0.7294555086534336,0.7474067744988764,0.7598737270305309
P80316,0.7637054279521042,0.7572522352200585,0.7590762140039021,0.7657026970030937
Q60710,0.7083424459739545,0.6787297220067501,0.714233916283179,0.718367434674387
Q62318,0.7119118408564936,0.6786332468525904,0.7023318206258724,0.7300633492359259
P05063,0.7778673066080734,0.7537783288509814,0.7993508171032789,0.8010906126338289
P09103,0.772426477297114,0.74947815936648,0.7651387421201454,0.7796866978332139
Q3TXS7,0.7119934144670194,0.6968680480956001,0.7128352215615066,0.7164190719826562
P97429,0.7371234507171663,0.7214803961078059,0.7383483785248521,0.754653890811618
A2AMW0,0.7413352539807718,0.7173535144008031,0.7418981868153762,0.762229156055142
Q8CIB5,0.6959359315084183,0.6758672855527948,0.7150719629898952,0.7302082315853883
Q3THS6,0.6995226123469408,0.67156224604614,0.6899947709868905,0.7057526278787369
Q08642,0.7664073624950083,0.7455977208914452,0.7455048758624796,0.7268821203061928
Q9WVA4,0.7631881259579597,0.7583736507308583,0.7758341167617386,0.7818501208118125
P11352,0.758713611172979,0.7356751161094794,0.7532433578334856,0.7623733750432787
Q9CPX4,0.7424040496390787,0.7274860039915774,0.7537896058256672,0.7682691259508994
Q9JHR7,0.7114020720681262,0.7209535161507593,0.7127819955242477,0.7215541905694933
P50396,0.7209782526215687,0.7037568652526515,0.7211468353181631,0.73193198703112
Q80X19,0.7061036390702706,0.752807945769869,0.7024815220018913,0.702817325174993
Q99PL5,0.70894409246064,0.6728270109819229,0.703159680148742,0.7531173588266208
Q8R1B4,0.7208203697350007,0.6920648241795564,0.7045655137612001,0.7030937297318609
Q9QYB1,0.7893595985721221,0.7692592592913234,0.7950135308499994,0.8163419314062053
A0A6I8MX27,0.7697644554415923,0.7474931929449371,0.7769285833032026,0.7986725095261922
Q8BU30,0.7055046306181506,0.6825816006793946,0.689601481467742,0.713570627036703
P97371,0.7630216425437353,0.7408411424564391,0.7636744559266234,0.7676685789637826
Q9CPV4,0.7398257523212185,0.7208093301571842,0.7351588491863401,0.7471189831001884
Q62010,0.7484166457168265,0.6976773734230045,0.785050470358521,0.7431147445754314
A0A0A6YVP0,0.7275095614530193,0.730792680688945,0.759159826075658,0.763848383838607
Q6A0A9,0.6632720673245524,0.6274255011618511,0.6504975533630181,0.6731113602683698
Q9R098,0.612873646745536,0.6678324855405487,0.6244488379957837,0.6357640009420551
O08529,0.8082600753903022,0.7671788604237066,0.7881475201547133,0.7877914390551224
O70133,0.6730720121146627,0.6271658176976427,0.6591039066676962,0.6748671359435059
Q8CIN4,0.7320512381165519,0.7083456329641757,0.737088677617369,0.7593073576893749
O08739,0.7191364321252204,0.6993282284005521,0.7205575415062678,0.7259825985081866
Q8R0Y6,0.6894901020504056,0.6579000730005419,0.6827441078775289,0.6848503767904843
P18760,0.821402611870602,0.8008874357065733,0.8144901781912419,0.825149327669445
P12382,0.6920975134464855,0.660938603670396,0.6950509093971274,0.7059460484762281
B2RQC6,0.6819117930347183,0.6911576968446614,0.685029074905626,0.6959242757634836
Q7TMY8,0.6684391845053816,0.6443546347180181,0.6655356834913903,0.6872839425823228
Q9D0E1,0.6757744069075573,0.6109532372206016,0.6538130925163067,0.680420700403872
Q3UW53,0.6998700315278165,0.6841921788748766,0.7107370370264827,0.7245575506784562
Q03401,0.7337208038845084,0.8441308772671866,0.7398414855072527,0.7524444862549327
P00342,0.6503171983603703,0.7954231179707091,0.6668858372086928,0.63638426394229
P55264,0.7601857378450716,0.7505141916381698,0.7575085183843063,0.7733742074887434
A0A7N9VSW1,0.6968134878574217,0.7303415048016224,0.7181199368932955,0.734229720308928
Q9QUI0,0.7114101769637012,0.6984384212875095,0.6976069055893643,0.720656553371018
P80315,0.7379938581935084,0.7122703028159333,0.7433961545481369,0.7614361472058448
P15105,0.7249396504298062,0.6808513902466568,0.714500867529945,0.7392428587807994
Q8BJY1,0.7047113139800594,0.678912760164262,0.7052290729927271,0.7075866908567391
Q9D819,0.7354223160677315,0.7099361426567317,0.7350302175334429,0.7398879636637374
Q19LI2,0.6756408504791797,0.74961039146077,0.7324996759543522,0.733899334822416
Q9JIF7,0.7147941185204595,0.6854870932254069,0.7044292610657932,0.720233137980461
G3UXX3,0.7261087692941025,0.7041581781954882,0.7244623163796714,0.7381985917247612
Q91WQ3,0.7367178276557407,0.7305385381883605,0.7271207230884613,0.7311054984694114
Q99KQ4,0.6784948412233666,0.674085415041363,0.6822181746020747,0.6758671728732303
P18654,0.6910975170146163,0.6923865315381845,0.6799377954457061,0.6901463918455119
Q3TVK3,0.7043118534072924,0.6900802753326646,0.703868255421196,0.715703592285662
P51125,0.6640019254848244,0.6318404882533217,0.6651682303689344,0.6884377715542408
E9QK48,0.7093216283214744,0.7049321068320182,0.7086660088296189,0.7224061284805355
Q9QUR6,0.7228254626364342,0.7513368904292455,0.7053233982682504,0.7269376110826952
P14873,0.6551333347103745,0.6665586945615012,0.6645182047683887,0.6874405742446682
P70296,0.7972471358318526,0.7881252194953815,0.7879059353150473,0.808882340077982
P68033,0.7715120758864895,0.7508773723192846,0.7755393490079725,0.7868073544965544
Q91ZJ5,0.7541072590371837,0.7311546781055444,0.7348473136326457,0.7508700165133954
A2A513,0.8482323495544498,0.819490853331389,0.8251867130635963,0.8895649329294396
Q5XJY5,0.7119274616390535,0.7041059191458627,0.714418715501217,0.7310044208389176
P68510,0.7659383573777715,0.7567469640243415,0.7637439649149521,0.7802829214194279
P28798,0.6616490240409987,0.6863087147529562,0.6686656917198687,0.6849954677897395
Q64514,0.6566088903950943,0.633658990260852,0.660420364583082,0.6590402467732285
Q8K183,0.7750025324613768,0.742366962779281,0.7693576413598676,0.7942410969588091
P62715,0.7517544047969928,0.7347680437521699,0.7880948203647969,0.7801967755203527
Q8BG32,0.751374874924885,0.7247844552023721,0.7485153184005952,0.7738128867142066
Q9Z2X1,0.7643748096654253,0.7534974237399895,0.7507157726968533,0.7749792521961459
Q8CI51,0.6884835423886787,0.662447607696256,0.7317626088895511,0.726800159110539
P01872,0.752064254134146,0.7418448210460301,0.7603615881663154,0.7761788553515419
O70400,0.7251320890726356,0.6940657357462726,0.7237770129869855,0.7392786672478818
P03958,0.7078085106286525,0.6907681356465176,0.6820823713958684,0.6810628611957898
Q5SQ27,0.5849008961509068,0.567249724656652,0.7082942883625218,0.7408517394398435
Q91X52,0.7708788341473077,0.7358494675664938,0.7529386983356496,0.7671380000602612
Q91VI7,0.7670537920699244,0.7552880332086469,0.7558617022543554,0.7751721694647615
Q01279,0.6754394204135735,0.6723773287168103,0.6729362994562426,0.660235985890936
Q07076,0.7168777144633548,0.7368918215763407,0.7104811686996921,0.7112529410042597
P56959,0.7148116235340269,0.7007414029899421,0.7116037380280753,0.7347520225521154
P68254,0.738744102226554,0.7411244696162119,0.7354155197748427,0.7551995780633707
P16045,0.7669414744343199,0.7782834770838907,0.7744926134573542,0.7879239578189858
B2RU69,0.6774404468301675,0.8306275828450591,0.6800318302158244,0.694735404694183
Q61129,0.7264484101200278,0.7316844853166512,0.7301568383611396,0.7471387343145043
Q07797,0.6956370320175392,0.7161119151769431,0.6926316707843025,0.6654220369656635
Q8BH64,0.771891200752816,0.7652704955726961,0.7768452463578465,0.7688666789143539
E9Q7Q3,0.7218935399486506,0.7042990281993877,0.7265228537476078,0.7467552305602863
P97351,0.7493208311284227,0.7374585079671626,0.7423769467720094,0.7554213744306693
Q9JK81,0.7876096896437356,0.7681609296950457,0.7878700567250053,0.8151404556052627
P08228,0.8183001420639326,0.7954050763285629,0.8178382438128631,0.8411012845382125
P80317,0.7459255379440116,0.7344845186105959,0.740299950149083,0.7459336594211413
Q93092,0.8292026832571896,0.8151454843590908,0.8368931458756583,0.8507765457978249
Q61171,0.7508115708616983,0.7253337734597747,0.741490215487329,0.7686233814471942
Q9Z0S1,0.699120057859372,0.6816388578669562,0.6972583634507736,0.7292949769535805
Q6ZWX6,0.7059385728928989,0.6885431393105332,0.6998552052314375,0.7121505250782414
P05201,0.743545158437593,0.7332283253924043,0.7531015435985122,0.7775255868518011
Q8BHN3,0.7169762581027088,0.700520356795993,0.7113682302010187,0.715181843807499
E9Q3M3,0.6841844928951181,0.6538523205131525,0.6750304311670018,0.7015275674152357
Q99KJ8,0.677048814070128,0.6675800273479028,0.663228182009749,0.6758271089870804
Q9Z2U1,0.7315340018283812,0.7113830548983404,0.7338437696491663,0.7489004734195637
O54990,0.6400086758999519,0.7165555682412476,0.6670581307413921,0.6823204599391842
P62141,0.7143022842725001,0.6910102073998434,0.711300596737771,0.7288149967107443
Q8BH61,0.6768571941617478,0.663511636489007,0.6917591158830614,0.6882291262447607
Q9Z0N1,0.7294420014294645,0.7096440324929564,0.7307275652321079,0.7277632631564391
E9QN99,0.7492027933628518,0.7106187486254087,0.7300776041346313,0.7528558607372423
P03953,0.7611919404441276,0.7592762208384505,0.7690405176294222,0.7804647587475697
Q9JII6,0.7681851030635751,0.7394025969879359,0.767462279571633,0.7783016003736997
Q8C3V4,0.8056849863965913,0.8020510438753804,0.8161652892282657,0.8187741240916742
Q9Z1N5,0.734112063851763,0.7222860614583826,0.7293981321220592,0.7435503125134376
Q61133,0.6990922160031421,0.6609092789059586,0.6774018716903628,0.6923290360602219
