Accession,luminal protein estrus,luminal protein 0.5,luminal protein 1.5,luminal protein 2.5
E9QPE7,0.8506063390576468,0.8317572058423283,0.8497236410639134,0.8681891856684203
Q8BTM8,0.861867121257732,0.8661203349711798,0.8629710607121184,0.8802603050556159
E9PVG8,0.8408224444314132,0.9516033231328072,0.831132645673759,0.8550362663843644
P07724,1.0,1.0,1.0,1.0
P01027,0.8668362579831769,0.9051164675339914,0.8706400970720317,0.8743676390353633
Q9JHU4,0.8337160766593734,0.807332542856014,0.8278887868156798,0.8564883298543375
Q921I1,0.9100894093290258,0.9006012989159458,0.9170930374815968,0.9277909844285404
P26039,0.8031709338143791,0.7887734730741218,0.8067755362142772,0.8264752202150243
Q8VDD5,0.8178561528235296,0.8177071593433858,0.8161480497741365,0.8276320070449621
Q61838,0.8470924094710028,0.8361018156344878,0.8510136800695401,0.8563844982612137
Q80X90,0.7907497247291274,0.7667258476302797,0.7869553529096274,0.8109726204507655
P19096,0.7963991012732635,0.7896671339634411,0.7886677799512496,0.8057018385966862
P08071,0.8101560103377446,0.8839176085215615,0.8420322006452059,0.8145450281991047
E9Q616,0.8361669579017311,0.8211222761193882,0.8524308638132242,0.8545869468178331
Q6PDN3,0.7924452708321156,0.7645504606430569,0.7926656488411988,0.8109263341403801
Q64727,0.8126629001588708,0.791265352082903,0.8193539525850163,0.8354865594610894
A0A087WSN6,0.7648046931572681,0.7508097353315065,0.7650842730242472,0.7712760001877442
Q68FD5,0.7791494761839797,0.7532826284962227,0.7751933547109874,0.7966246826000862
P57780,0.779025329474458,0.783344083457089,0.780716233847449,0.8171597332198176
Q01853,0.809949101070539,0.7967738172692678,0.8066928164680622,0.8226216455364616
P63260,0.9183096619068031,0.9145611089450969,0.9185995656622346,0.9333655638900651
P58252,0.8465048556945274,0.8309845078045756,0.8516318879121407,0.8574095447824476
Q3U2G2,0.7804197870054346,0.7522365284264382,0.7753957253247594,0.7873473164542778
F8WIT2,0.8338280713983811,0.8167169709051117,0.8272303122445908,0.8377745398635172
P28665,0.8063012330976249,0.7917762276146537,0.807264813928103,0.8127709461261505
Q8VHX6,0.7373935122104988,0.7152968173581115,0.7372999252816024,0.762003717762182
P11499,0.8511890998548381,0.8398434316598471,0.8507376429055619,0.8638926756914757
P20918,0.7966489839056982,0.7693048947093096,0.794596150666987,0.8071248279440207
P63017,0.8379932059562425,0.8213648094561934,0.8330057066601648,0.846870898074062
P06909,0.793814027828754,0.8124115686601082,0.8147066236308603,0.8384817868594653
P13020,0.8449049782898437,0.8236415355436962,0.8427012498215561,0.8571145336546094
Q6URW6,0.84822787162506,0.8252854283561868,0.8592604614658593,0.8266116940566679
P99024,0.8245439851464343,0.8109383134130115,0.8245288023391215,0.8317653627573914
P21614,0.8134310817085215,0.8008813406872851,0.8200700372874448,0.8342504245905233
P10126,0.8639264816826396,0.8503110041259921,0.8569307237355699,0.8676489228057555
G3X8Q5,0.894502118945097,0.8841970771409178,0.8931267276292405,0.891401944746666
Q02053,0.7871089406621459,0.763437155798914,0.7806009832760445,0.7938743299104072
E9Q0B5,0.7529285472408268,0.8116595263880668,0.7732261971235282,0.7813731340594942
Q9JKF1,0.766679486690415,0.7954111403612034,0.7672858581315404,0.7813727642901027
Q62261,0.7818635167050902,0.7611813169460724,0.7769498005354284,0.8163202106536928
P05064,0.8263789766314406,0.8278984983695545,0.8305781447135084,0.8405966365115771
P16546,0.7341124568184672,0.7234881811743072,0.7437562578698447,0.76135220768156
P52480,0.824954138125843,0.8292843173308503,0.8272131628551829,0.8311007204363058
A0A0R4J0I1,0.8446104868374208,0.8382140460942065,0.8507157399475552,0.8611171353786341
