Accession,luminal protein estrus,luminal protein 0.5,luminal protein 1.5,luminal protein 2.5,luminal protein so estrus,luminal protein so 0.5,luminal protein so 1.5,luminal protein so 2.5
P16546,30936597.93,18245806.13,43795184.26,70573912.97,35103165.22,33741295.51,57181024.75,43516504.05
P52480,261438905,210362120.8,315406737.8,369546576.1,274447268.5,307457028.4,447482354.3,301801448
A0A0R4J0I1,414889643.9,258576592,549969746.5,753534349.2,605811191.6,646845336.2,1058526045,767667686.6
Q9D1A2,282354167.7,122794331.9,195779094.6,192529680.7,302362065.4,209128415.1,298540870.9,194196607.7
P24527,79214192.31,37590737.58,71349721.48,135384228.1,80047850.91,48620798.34,138923776.5,71857971.98
P26040,174884360.5,91732659.63,139346349.2,284433757.2,189463751.8,176796514.1,213128751.7,201328163.3
Q8CGC7,55078678.26,23295222.71,60163151.24,61034989.09,56932384.1,54586662.47,80613490.03,61570514.67
P37804,298989519.6,169713154.7,393469029.8,552334471,471362150.2,348896737.4,713768286.2,574409888.9
P15626,578357761,253977207.5,737106637.1,976251636.3,879543822.5,737691296.8,1138196902,960446936.9
P27546,24714846.67,41569039.37,25454981.71,38295280.7,30916730.15,54052938.75,43186184.27,27338917.75
Q91X72,346565082.3,221474530.3,477569702.1,684746551.7,536849353.4,582952916.9,807182943.8,783693218.8
E9Q5I3,14834593.87,37747397.49,15652207.85,94540689.9,8030053.078,63678519.5,45277667.75,93257286.92
Q61879,57636628.27,38869933.29,52593890.08,54766486.45,37330049.72,35200443.48,37278245.56,31771372.45
O08677,150833965.6,92936726.99,194589149.3,261629876,217642911.4,238932577.7,356237878.5,261763286.3
Q9DBD0,30728376.83,16446397.98,38519537.33,62902556.8,39061524.69,43850070.55,67317096.51,54854790.2
Q8K0E8,165563238.4,66519971.25,177548042.9,240091945.5,126869025.9,160616922.3,267984217.7,239237970.5
Q9D7Z6,57441519.27,219884308.6,44983078.63,55782725.75,52810763.35,46365523.1,61384497.53,60881321.91
Q8VCM7,90394733.22,47045887.25,109381363.9,147986970.9,145692632.8,141099022.9,238815036.1,136264458.5
P23116,189036416.1,68260747.89,119287497.4,256685976.3,102371832.3,137470788.9,149184313.4,193931939.4
P08113,98336406.9,36602939,79337164.07,130437780.4,115662580.4,80169691.64,123042272.6,98851038.59
Q9CWJ9,71937925.02,41996938.29,71140105.63,101004674.1,75670145.28,73902947.54,93746825.06,78892994.5
O08553,38250818.58,30289641.91,42819573.15,70711738.02,39077244.43,58149367.13,78818544.2,37440577.05
Q8BFW7,29874633.8,16652642.23,41015687.36,81044899.63,36178654.42,29938372.37,56299859.56,50127233.83
Q61768,19072563.84,8131528.102,20437390.25,34176490.1,17813587.77,18169002.15,28405564.69,26257954.89
Q8CI94,59533360.59,23160763.99,67833978.33,102004891.5,68772741.73,51504273.08,92801637.47,88926251
Q9Z1Q9,35458988.63,15795782.4,30694713.38,56535708.52,44005335.18,38623078.02,53052550.86,44794434.84
A0A0A0MQF6,519932019.7,276123538.2,606085824.9,729004278.5,735915723.4,553106231.5,832538271.9,594777782.8
Q00897,739508853.6,499533278,1115563261,1345695811,1061616036,1153011518,1667579575,1427581591
P30416,92445926.79,40241625.08,77740174.91,117120532,109131783.6,83562892.52,109339502.6,86847277.73
P97449,63620846.25,91438778.79,44156919.27,66577392.48,44490887.02,49146314.55,66365721.27,54691441.11
Q04447,174358236.1,174056200.6,234407195.4,360792963.4,252080858.6,180990464.7,324732321.6,290963607.8
A1BN54,48169505.37,20204437.81,49100779.43,103267343,59663148.79,52169578.58,85083562.59,67880805.91
Q61598,95692801.77,34160366.09,83307832.73,132332182.2,111649073.2,79103945.14,130023000.9,104585159.4
P17563,66577914.38,26761988.23,99209766.33,149420558,81276074.95,55959787.58,105621616.2,133586919
P06728,153822605.6,77358781.44,186284854.9,251033503,204829927.2,196757515,295363599.9,220910663
Q922D8,159357858.5,75171273.24,130867120.3,368320982.7,127970592.4,219075323,263460405.1,350706801
Q8CIE6,38842278.74,16149555.9,41832005.48,57411211.16,46133068.13,33657718.2,50430630.99,39615228.74
P27773,165446820.1,119442135.5,166209179.8,224151626.8,194893387.8,174690861.6,262089242.1,216838998.8
Q00612,144839098.1,75510900.4,102249761.4,127487921.1,167879957.9,125593439.9,133696238.4,94700562.82
P17182,467942836.1,281627679.5,583997121.8,706596873.6,459972305.6,503800691.7,730358625.6,631898312.7
E9PV24,105308076.1,61641367.27,128575386.6,163508621.3,137279560.5,153996656.3,247476047.8,172477622
Q61781,402264823.1,99609980.49,332763660.9,1116002915,124753542.6,392232541,566996329.8,1267695545
P60843,87504980.63,59147481.61,92570530.72,116761107.5,108467087.2,87291100.19,157807589.8,104972099.8
P09411,196778024.7,99429299.91,280160114.6,370696903.3,240243845,212741309.5,358920457.1,326973985
Q9WU78,30631480.78,19419096.98,28834288.83,45493715.58,32523395,28394034.1,47793815.59,38144504.91
P62259,249507650.6,105340700.9,267943560,364940821.1,281151904.4,204579913.4,354684088.3,302621780.5
O55029,18581172.78,10693241.27,21080860.27,43000816.38,27175574.44,22660679.95,46497188.08,27750957.7
Q8VCT3,41039042.63,19450433.96,39264380.5,44334429.69,41471147.67,31584248.7,49758116.02,38596010.53
Q922U2,520686334.1,217781711.8,453509804.5,1511073001,227285838.4,517603228.1,601062847.1,1223682133
Q8BND5,24013095.55,121725783.8,25193404.55,29230041.81,30484675.54,128834314.9,31076518.36,31561784.07
Q6ZQ38,83198867.1,48320456.78,91603546.47,157252298.7,92915870.69,93194140.81,148978331.2,131868200
P10649,526503253,190702392.7,468499399.9,990956357,598964890.9,472215638.3,593189112.4,814109747.4
A0A0R4J071,2119968.068,78033775.43,2080076.251,2699508.359,1984369.859,70322095.92,3177874.641,2496894.661
Q922B2,45498979.65,15442379.17,50717057.11,63560175.49,47388743.23,27815654.41,50114622,38547952.07
P20029,124425133.2,49603701.77,116456531.6,192984357,145928524.4,112292383.7,197385608.8,163174378.8
Q78PY7,36805379.96,22888066.52,49183630.98,68131488.19,50512834.26,57375548.11,86757099.78,108663947.7
P45376,77461923.59,48564166.84,97569106.8,144920393,103113952.8,86235025.7,165673913.8,137676206
P42932,91641049.33,42474306.24,103829316.4,138006394.5,117809847.8,88268568.58,160005589.1,130934584.6
P40142,235945860.5,110363077.4,214384206.4,336443734,236645994.6,210886095.3,288530292.3,242457605.1
P80318,62572242.23,31901237.66,64871319.32,81900749.05,75719428.5,59689942.36,86271582.59,68129121.75
P21981,89031126.92,126907204.7,203306027.8,101092673.4,205996992.1,110833966.4,245307376.2,148528708.2
P26041,57088239.99,37110618.23,79530084.54,121164730.6,76146002.24,71289249.56,141422821,105333200.8
B8JJN0,44157668.83,98602397.46,63780950.13,78002497.06,58417172.75,84839976.57,102624460.2,103458123.3
P40124,88177348.22,38068595.41,92136222.95,131263459.3,93227041.8,94411958.76,149136374.2,118054855.9
A6X935,24527636.18,10540093.05,27170125.42,34537518.94,30376843.66,40338994.77,53768183.25,40764639.64
Q9D0F9,49405720.63,24934163.71,49446187.64,90773057.07,52628225.14,56822288.8,82916409.77,72039228.51
P05213,141697118.2,68757894.83,173320977.2,212824183.5,199044466.4,150159404.8,170460220.2,139777108.7
P19221,27633622.8,19061989.45,32834025.77,50629053.88,34902559.02,36834117.91,56239846.72,42072584.95
Q00623,785541637.3,363613102,964105370.9,1246646927,711296944.6,1219489909,1487752048,1014322116
O88342,78379000.32,46676310.57,85303723.55,113499950.1,104553280.7,93839119.56,91305383.55,79141469.89
Q99K51,264057890,202459162.2,198641734.4,216623717.7,348908717.8,200756971.8,119908701.8,170096159.3
Q3UU35,39618484.97,20719608.06,92291198.56,47184250.41,47353406.93,59842964,97676618.06,59734421.7
Q9QXS1,16345953.17,9783066.096,20857886.27,40469769.89,20010743.91,22130414.24,36365365.99,29489686.35
P07356,135902017.9,92823046.67,212128877.9,277204465.6,137188103.7,150163083.8,250031542.5,239471270.6
P17751,208653718.4,115536055.1,221111215.8,281571605.7,282057096.4,194035531.8,298260733.7,241703945.8
P35700,357849083.4,153417415.5,305369747.2,567760707.7,405984433.8,309778319,585512426.8,443467749.4
Q61702,10449192.8,9782011.238,23045583.09,24970854.78,48677297.46,35913307.91,35626860.7,29305389.49
P07901,96148414.3,53434076.27,137431251.6,192614332.3,122495301.1,118771908,205125568.3,188451827.4
Q91WT9,94149346.27,27073219.74,36861680.13,94054970.67,91263908.45,66824664.45,64303689.16,65340538.52
Q3V117,30796279.73,16780108.51,33895702.8,45294410.84,40441540.84,36067872.53,47852627.13,35135813.59
O88569,958235939.4,832143614.5,1099025740,1012431753,1133565973,998141995.5,1102300072,1019843978
P24549,28016047.23,26663930.55,53713797.55,87449169.03,43894269.61,61115413.53,101817184.8,59438838.95
O09131,450217848.6,172075182,325524536.8,406148645.1,561432926.7,432658140.6,498499667.1,360271478.1
P63158,166240618.9,75003818.2,210262377.3,251952927.6,182649188.7,157853296.9,193584840.5,303793823.5
P11983,26465039.37,13534986.18,23680840.95,34054127.01,32480954.23,27255427.14,31695153.89,29369713.81
P19001,348270448.6,163988873.9,382854854.8,837215889.6,253389290.3,333081609.8,481610033.1,655936631
Q543K9,76592294.2,36524441.82,81782442.69,91174351.79,103868287.8,64647506.66,109465801.5,87368800.25
Q3UPL0,18336717.66,9417925.822,23713146.2,30985627.84,22725685.09,23015720.96,31027135.48,25293119.18
Q11011,46401352.2,17479904.41,43597914.2,60054346.59,47805725.19,42545130.08,58805428.58,52593655.61
Q7TSV4,36569481.78,19182208.62,49366335.8,76072582.97,43044462.41,36917807.86,64026154.45,48403706.95
A8DUK4,1000614255,674571726.7,2108932200,2706003511,1573797080,1708781681,3361001014,2936570617
O70209,62160063.52,26179435.03,79487943.95,126409201.9,72810590.56,59660706.26,131432779.2,92240582.83
P80313,36932403.48,42478930.05,50290601.22,55018329.19,78487823.52,46934479.41,83033554.98,44447248.5
Q76MZ3,38847602.13,21667536.78,47663011.99,72731905.3,50084634.59,43365527.68,67791230.91,61103211.13
E9Q557,30078329.69,11938001.36,30900533.04,64934891.93,21437831,25049273.37,32485202.35,40955313.8
A0A1B0GSX0,239286798.2,188979214.6,336929986.6,347672553.6,270829380.6,361855489.9,385508278,281181450.7
P60335,48838723.77,23982591.92,49421430.23,79109912.81,58210025.66,45611299.02,82765099.33,53502402.09
Q8C1A5,25877360.77,9355298,31739329.53,48073611.84,30593987.95,24278768.06,42783677.63,39749810.63
