Accession,luminal protein estrus,luminal protein 0.5,luminal protein 1.5,luminal protein 2.5,luminal protein so estrus,luminal protein so 0.5,luminal protein so 1.5,luminal protein so 2.5
P51150,11573838.94,4324370.313,9165021.656,19133717.38,12078843.69,8543228.063,15006779.56,11417763.81
Q9EQ80,6340265.508,3081074.047,5298176.281,7115910.625,10515887.86,5060099.008,5495545.063,5785523.664
P62751,22437313.78,9199786.443,19524573.8,26027598.97,23751723.84,21650717.13,29688843.67,20827941.28
Q06138,7128178.543,3496635.352,6411110.844,11378905.67,7365126.563,5523742.719,8409230.531,8080626.313
Q9CPR4,12103497.84,6560980.867,13914278.95,21520463.76,18189714.77,16785170.64,29849983.73,18871179
O89079,21654530.41,7885186.648,21936054.8,39776069.5,25560813.87,21742947.86,41107802.98,32571605.38
P17918,12737050.55,7227825.453,15383605.91,22296357.88,17742990.63,19460596.31,27778225.28,18410349.52
Q8C0C7,29749430.87,26846926.71,52126798.36,63304535.88,42719564.28,69422865.1,8703140.453,16766784.98
P23591,17129763.09,11776124,21785859.75,21327666.56,20241477.66,16250646.89,25613535.97,14979778.78
O88456,16365941.28,7219556.672,18955977.47,30426789.93,19296535.79,15194974.99,31426201.17,21493108.88
E9PYI8,9019678.438,5294875.641,8156623.953,12097312.09,13235156.94,8449557.031,11611303.77,10302239.75
Q9JI75,3138017.172,1301014.078,3977676.641,5232600.25,5272381.063,2809386.719,5669209,5231740.813
Q62148,16087395.66,4464873.797,20753126.25,20709291.97,10829060.52,7948530.289,27474453.98,23621914.72
Q4FZE8,32323304.48,19429443.03,31764772.16,23251011.39,23212530.81,18152427.75,28626044.34,23365756.48
P26350,6073492.969,2736173.363,7435530.438,15696791.63,5278061.219,7478398.797,6167679.547,16734963.11
P70670,12160731.72,8854492.859,10938950.84,15323199.28,16130977.86,13022853.75,18525720.72,9550302.625
P63242,51342476.06,25001007.84,46834860.13,57613105.06,60657572.53,47294915.81,67167876.56,45442147.34
Q8C7E4,9437095.469,5028715.178,11746876,14925589.47,10577339.76,6863963.688,16998118.56,13552394.09
P61087,8470783.719,3906108.406,8564042.031,11630478.53,10019595.91,7356004.422,11776808.13,8892839.219
O09172,4006960.844,1635500.195,5523074.953,8595428.203,6964201.078,3239456.125,3261211.781,2883062.109
Q9QYG0,3277890.625,1984493.5,2694268.438,3533270.063,4980091.188,3399470.219,6081009.453,4354004.531
Q921M3,6985379.234,2429565.203,5705555.438,6799181.672,4575884.438,3891562.328,6979150.047,6158240.891
Q8BH35,5430844.703,3300180.789,7633108.625,9769838.438,7168993.563,8798037.719,15127599.78,11959738.97
Q9R1P1,15443150.77,6466806.648,13446784.36,14967691.58,16882495.44,9207282.578,17134837.53,14054508.1
Q6IRU2,21726538,8232308.531,17692812.56,40628288.25,17547537.13,17013259.28,37575243.81,27521446.19
Q9Z1D1,5342892.297,1672471.273,7853668.938,9016914.063,4302342.5,3888200.594,8106987.75,5591902.875
O35286,20340838.39,7935313.703,20193002.5,23921456.8,17818754.17,15295342.06,24781511.17,18317609.18
Q61655,5646307.547,1971650.078,6419855.789,9653797.859,5960053.844,5318208.531,10070556.48,9597263.25
Q9QZ08,5237603.844,1567924.523,4944772.391,7316518.063,5305327.234,2634769.828,4984746.406,5889017.781
Q8BVE3,2580720.422,1293314.652,3180511.125,4060937.75,4229035.082,2656869.68,5020134.672,3800198.617
Q9WVQ5,9684289.469,2181314.922,7371602.094,13920112.31,6156017.633,8813006.422,9015764.469,7820217.156
O35841,7565392.547,2890014.703,8519691.625,12398270.31,8063669.141,6743095.781,12820315.69,10904227.38
P63073,10060299.72,4776523.547,9979093.5,16818553.02,11596959.75,9351030.563,20558607.03,14011868.5
B1B0C7,271866.3711,244095.1865,2843569.57,2801050.957,1848419.404,740573.8086,3619629.336,3899655.004
Q9QWK4,1534225.422,226183.25,2818501.688,5950897.5,3531346.719,6497190.625,8954726.406,14397102.63
Q9DBK7,4749048.75,3143008.75,8524461.375,10994769.67,7191859.75,6941615.992,3986706.453,7662716.25
Q9DBG3,5677281.313,2769379.023,6912481.328,10142835.3,6748761.938,5677996.266,9063299.688,7237372.891
Q78ZA7,9131126.828,3762216.891,9050099.563,14196434.75,10839960.25,8664131.375,14316808.94,9626680.938
O70557,44606457.55,54332461.63,75271885.27,66383783.58,59476621.81,60740236.47,91379118.19,58673467.63
Q9CQM9,16681239.97,14956913.39,18557035.2,23852008.7,20917664.39,15784806.98,24818172.55,16718957.94
Q91VH6,7624798.094,2439553.367,6332856.938,10811531.3,6816401.25,4999618.297,11236201.13,9136620
Q9D142,3678936.344,657122.7031,3388851.203,4430294.219,3066115.031,2341269.875,3551623.484,3465391.469
Q9QXC1,18296079.33,9984368.234,23743791.31,35023700.5,19647190.47,17906432.94,36761783.25,31959157.06
P97470,890839.4609,342670.7617,1029697.977,1328840.281,3859425.031,980567.7969,2198055.813,1883890.406
Q8BFY9,3118686.406,1240955.578,2933549.578,4241610.156,3321332.188,2550925.953,3207711.063,3059553.594
P62281,17921906.84,9855620.031,18864630.09,22719945.83,23028295.67,17116109.05,29191580.05,18708230.94
Q03265,2801423.156,589185.9453,895017.5781,738301.4688,1656983.125,514574.5781,972399.7813,668668.125
G3X8T9,19937901.84,10106454.21,19458775.8,24861335.44,23479333.14,24137449.21,32743650.38,24992171.41
Q64467,8266313.094,15727629.84,20046720.83,17577403.08,5757681.781,18420552.09,9992203.219,20205592.55
Q99LB6,16145206.09,2766520.125,13275985.11,11302092.23,8627555.953,8198889.203,15554639.05,6437358.617
Q9CQ19,9618106.281,4640478.117,10415160.16,18473937.28,7906077.453,9160612.906,16719603.88,11257893.38
O54724,8391329.422,4728023.492,10933649.52,23330620.84,10441243.95,11069213.97,20049621.25,24222139.69
Q148R4,36000.36133,2801812.063,24410.47461,NA,NA,2288877.811,NA,1806683.34
P42208,8894195,3223984.715,10447684.39,16247571.97,8332814.969,6530050.984,14554040.13,12311211.72
A0A494B952,14541544.06,6911515.625,21212520.16,32547787.09,20920088.18,14290800.77,29917144.5,26820005.83
P09036,594962.5645,243655869.2,2312411.891,1655809.688,1107258.047,156106524.5,2403066.063,1449410.563
P0DOV1,5836290.082,2677363.551,7531481.391,10075315.58,8470936.367,5630203.219,11760963.61,7727175.078
Q04857,1910052.344,692315.3242,1688924.684,1927857.016,2346014.5,1550067.297,1585169.992,1059593.219
Q8CG72,13489056.45,7703640.648,17887876.98,28748176.42,18001723.81,18856530.02,31281831.25,23699858.09
P63038,10441650.52,3345640.641,8671858.531,11105296.44,8876547.625,6883564.719,9232218.438,6124994.484
Q9DAK9,28160772.2,12628254.2,32634935.88,59624269.31,37388698.61,24037229.23,54317931.81,55717163.23
A0A0R4J049,5873803.219,3050676.965,4237899.523,4484661.266,6917585.266,4338800.906,6863355.797,6595486.625
P46412,21166732.23,11938710.59,23078825.8,26523404.44,22821430.69,20478667.53,28882998.38,22112193.16
Q60631,33276285.89,17924814.59,26564697.33,71993595.03,19561182.11,46922074.19,59492031.66,66283729.56
P00683,NA,8459910.875,NA,NA,NA,16589235.25,NA,NA
Q64674,10416030.22,5271678.836,9667672.125,14334270.36,15746709.59,47558808.31,16361059.03,12578962.78
Q8VCA8,1844116.852,1452007.625,4508444.484,5171830.5,6441574.828,3034218.945,5428062.188,3626557.531
P61164,9102326.594,2388742.531,6362803.938,8221061.75,6604138.703,5861685.344,9043293.063,5761916.688
Q8BTY1,14190736.58,4959156.391,15598560.73,17432283.91,17024031.22,13465150.78,24103533.19,24194863.38
Q8VCT4,13104379.22,4848784.07,11073656.56,16804632.69,14632763.98,6722975.422,10898611.41,8874860.813
Q8K4Z3,14807891.28,5027046.484,15110621.88,21035622.08,16342265.41,11761057.11,15359715.3,16706905.63
Q9CQB8,3614933.701,24365331.5,6889785.961,13502360.01,7022304,31580837.14,17108568.38,19496133.7
P43274,21727789.64,9837652.344,24278585.19,31399428.44,23655161.83,19774449.19,40532658.78,30897877
Q99KP3,7572173.297,3917697.078,9263071.625,14804556.44,7997179.328,7320840.109,13527226.95,14494146
Q07235,4290278,24154788.28,3465536.875,1183122,3536953.672,28005292.06,2390471.375,2543952.625
Q7TPV4,1455028.602,851771.9141,2151949.328,4637505.781,1758010.703,3050888.734,5413967.719,3248584.5
P62754,4395504.25,1857663.328,5170110.25,9684502.25,2475156.328,4407418.566,5350279.156,5375255.82
Q9CYT6,1682677.969,509485.6953,1523353.219,5308267,2879476.031,1631543.844,4790660.172,3873168.891
P62717,9233246.734,4263707.617,7413221.672,13976234.88,12063867.43,10381638.56,19047955.59,11887340.91
Q99K48,7310037.734,3012845.406,5260980.141,11959173.75,7499643.75,3753914.891,6999584.219,4022762.469
Q62422,3060476.188,2698871.047,4073265.523,4502613.805,3474367.813,5914255.789,6246508.406,3905594.998
Q01405,2462852.086,789242.9102,1047072.18,2496170.531,1186348.32,297902.2773,1796913.031,2182215.281
Q6QR59,7009228.688,6637398.063,9284046.945,18505231.63,11545509.13,9973513.125,5973418.375,9637438.438
D3YUT3,13519313.44,5240313.555,13788489.84,14074402.64,16359237.6,12331621.09,21204718.14,12866513.41
P26231,4161452.828,1922271.367,3561903.313,6173661.813,5319938.406,4730063.359,8782419.047,5149365.797
P54071,28131230.42,16210908.41,39994953.98,52590930.63,30232446.29,51883122.36,72094136.22,48124798.64
Q99KH8,3537432.719,1656852.609,3152894.773,5097794.906,3418244.859,1863571.578,3816318.656,3059346.844
Q9QY48,571033.9063,5957346.563,NA,328154.4063,355688.4063,5188294.484,696916.8125,77408.00781
Q9DCC4,15434487.69,3948728.344,11754448.81,21414034.13,12348852.69,9627999.781,17492944.31,14113039.91
Q9CRB1,2206361.242,2068516.305,5113924.938,6412350.984,5188512.969,3307771.281,8636880.875,6483602.375
Q99L45,6473830.109,2924375.125,6703486.5,7207552.375,9128898.875,6772672.594,8001968.109,4569956.969
P70271,3886298.281,2361974.68,6073292.516,10387703.72,6099782,6672618.219,10219925.36,7226129.469
Q9WUK2,12862511.73,4603018.734,12212060.8,33697354.41,10768203.58,17626596.78,32804214.16,26480998.23
Q8CAY6,5061776.156,2091857.176,4560443.539,9315324.234,10996544.84,5318244.336,10188769.3,7113613.344
Q62093,15309685.61,8417417.258,22790733.69,25128901.72,17912019.19,13996443.09,27902178.77,19713869.95
Q9CQV8,68116799.86,30339901.9,80851345.84,120354055.3,76256430.97,70819271.67,124510512.8,94102002.05
E0CXN5,14129395.98,5995707.297,19161740.58,30713398.75,21990379.72,12446814.81,25623955.06,27598728.63
P54823,3022180.086,900785.3984,4116995.758,4641942.125,4402282.406,2532778.047,3582131.844,2400723.859
Q9DCV7,10929522.75,5937775.75,13358325.7,23291966.31,18230188.92,10050317.77,15054860.8,13118443.3
P32848,58176698.23,32504076.02,125291673.9,238462804.1,72260442.83,100549226.3,202587408,225621999.1
Q9JMD3,66174873.66,22395162.71,51690742.86,197352662.5,19365386.78,77717638.22,117404391.1,162327914.7
G3UXL2,26065176.66,9465982.211,20165001.5,40702438.03,29116875.69,20397745.19,37649067.58,34169249.38
Q6P1B9,7787398.023,2444883.359,7626919.469,6555299.438,8983266.668,6470509.984,10502568.21,7909690.75
Q9JLQ0,20621782.77,9229233.074,12507147.38,3669443.047,25407198.56,6909664.328,4732919.188,2821851.344
Q9WVJ3,4379328.141,2930082.039,3096466.406,3659752.875,4442309.188,5496592.969,4922716.125,4147463.719
Q99J36,6590821.891,2301336.195,4835472.563,6760377.219,4231504.359,3688453.672,6676286.156,7122833.75
Q9R1P0,19674507.34,8971190.805,23350653.81,37707668.63,25819342.23,22725740.31,41335926.22,29070915.91
P47713,7290737.75,1887747.641,3821439.492,6765776.465,5736647.344,3968713.414,4951355.654,4072161.938
Q9WTI7,2605429.5,1432856.906,3895269.188,5756058.438,2858079.406,2435354,5596043.125,4333543.438
P62911,5711051.477,1770076.859,4528860.578,6474499.125,7757985.969,4798727.203,9535199.5,6864195.719
Q9Z0J0,8457131.516,37439990.7,13364237.55,15480624.25,13877502.55,49754880.77,18894098,15718506.88
Q9DCT1,7826810.031,3133494.25,6789719.531,10173518.48,9379828.031,5434138.156,8874597.594,6550771.406
P62270,22053581.91,8260493.438,26427964.59,33586069.28,30242983.8,23502341.14,44401787,31349916.34
Q9CPU0,35975776.13,13766982.94,38089151.31,35354561.84,35550685.77,26327636.03,35928326.19,36926718.22
A0A0A6YW77,16642582.74,257839088.2,24545053.16,15922662.98,28126905.49,96414607.03,58811747.94,37097877.77
Q8C0E2,1301987.578,2205264.953,2448337.91,3915841.406,1740769.953,1052418.328,1591651.188,1339815.672
P97461,7338895.781,2701808.633,4174731.039,5766491.203,6706047.707,6110393.969,4600960.852,2943448.656
E9QP62,3501584.969,1356732.453,4673270.5,6444581.031,3898040.25,3027331.188,5446592.844,4231469.578
Q8R0A5,11410167.03,7152062.012,14737915.31,66359894.29,8551477.406,26415178.03,41009377.81,54164518.1
Q8C0M9,3694278.641,2567565.148,3355008.25,6655850.891,5705008.25,5469136.078,7027141.609,6126451.938
Q60967,3378855.711,1719043.898,4440684.594,6943586.281,5391764.656,3620289.605,6875712.219,4903851.938
P62264,17497665.92,10773953.34,15520995.13,29069680.91,22072798.89,21678789.25,26063473.47,19944422.83
P40336,6555086.609,2167779.148,5443424.297,2344819.234,7593547.766,4715672.031,8204199.063,3022672.016
P35979,19564763.75,7816605.297,19381286.72,22313139.53,21565539.08,14503670.06,25732097.41,18020233.28
P43276,104868969.1,3527853.891,208220053.9,6523650,182706212.8,136854904.2,12938558.09,7304236.188
Q9WTX5,9416873.922,4922906.156,9641186.156,16572888.67,12459007.09,10186033.91,19167402.84,12893825.84
Q8BG13,5228853.547,2860623.906,6143907,13220902.97,5975346.813,7185747.234,10360279.72,6948051.938
Q3UP87,1895122.438,1200028.25,1107094.781,1892162.313,1425401.531,12250008.31,1138536.156,1432484.5
G3X8T3,1564823.117,5586524.703,2600075.898,1949725.766,2551378.078,2989121.055,2168762.703,1803409.219
P58389,9934548.063,6736722.125,8883338.313,11746973.33,8084755.344,5831232.875,6858177.719,6829973.313
Q9R1T2,9503180.25,3514762.75,9422019.531,12079551.25,9266650.141,6152065.5,10189102.25,8609216.656
O35295,10721105.55,5554095.375,10090076.14,14563729.29,11408596.31,10933084.47,7390229.063,8943259.633
P45591,11353119.09,6456991.266,10668170.56,20452061.66,20450977.23,10756516.92,32229792.71,17655234.91
O08663,6569168,2390611.797,4300949.391,7469301.094,8148748.219,4953609.922,7485695.781,6038738.25
Q9DAW9,1737749.5,902358.332,2382026.859,6023210.109,3649144.313,3425783.734,5780439.969,3189887.703
F8WI14,5654249.547,1068924.516,10581025,10807305.88,10200252.83,9441349.031,18564637.09,13961620.47
Q8C878,2854119,1132001.211,2435785.219,4254330,3303128,1879146.344,4556114.563,3417734.141
Q8JZR2,5308705.594,2014278.484,4532689.578,7696189.156,6686238.266,3095420.25,5761047.031,4716477
P16460,44948083.31,37919772.27,56233818.69,58777219.66,52269289.89,53598877.98,61379839.44,58880962.72
Q921M7,4841570.172,2930218.477,5475399,6221615.469,8348871.875,4184417.281,3498401.938,8827598.969
O54988,1972971.875,2113330.766,2316331.109,3164620.406,2680691.047,3418457.734,2813581.5,2911828.25
Q9D2V7,2073487.188,569814.0703,2175131.563,3308468.859,2437351.641,1523758.859,3078303.656,2180966.531
Q1HFZ0,4534501.844,1943960.609,3785979.703,22374931.63,5782990.844,3276977.25,10842101.44,4841006.766
Q9WUB3,2036984.859,1351315.602,1309825.969,3013795.313,1880732.969,1957176.453,4489641.625,3296387.219
A2AUD5,3400128.719,1234437.781,4737285.156,29513576.64,3801545.688,3532866.563,7299771.875,6222287.883
Q08091,3901515.266,2770778.703,5322793.844,8695123.063,4852110.25,3871999.172,7810112.438,6246691.109
P62918,12813290.27,8524471.508,15161354.17,25115211.47,17979662.92,19685201.39,28444546.22,21453740.25
O88947,3842752.406,1577197.578,4200323.547,7194019.25,5061198.078,7324237.781,12071365.69,7291695.719
P54728,23840144.91,10879748.34,22671150.88,42300436.75,19218617.42,24352151.73,31957479.09,36679521.42
P26443,5366832.961,1449572.242,4114425.25,5957583.438,5170014.563,3144648.117,5957892.453,5534532
Q61656,2681870.18,1164557.59,3269065.16,3825737.813,3969467.469,2337623.563,3844264.691,3239276
P61358,19596846.81,9519534.953,21891955.78,25419448.19,24150706.31,21257632.78,30939189.66,21087261.69
Q8BP48,3724794.391,1755407.688,3050799.094,4677331.219,4733863.656,4034809.531,3959398.406,3256793.234
Q8VDM6,2808392.219,1176068.688,2852961.047,7157466.688,3175570.844,2430422.031,4326393.125,2401233.438
O08795,15832811.39,3868057.063,10211613.52,14511313.53,9777583.813,5525254.531,27864259.34,11234154.44
Q3TGS7,57659572.4,32718003.8,80593375.2,128345572,79648045.23,91629551.59,176592298.2,160763473.3
P08121,1582418.469,729311.5938,1358381.5,3329527.219,2227774.75,2524248.563,4266535.563,3364257.156
P28660,6498488.383,13876853.86,10443630.99,29442995.73,7294847.906,36669311.08,19162249.28,27964181.41
Q6A028,4923439.938,4635057.609,2904145.563,6728636.305,5007146.215,7738516.848,8307154.031,3339614.227
P49443,2889681.625,1206117.219,2413440.063,3471616.906,2106049.625,1940747.703,4308561.688,1797125.344
Q61205,567067915.4,174453187.6,340829165,120917523.8,505109959,156802372.3,164222857.4,167111219.8
P35123,3979058.438,1320493.961,3229759.773,4370559.938,4465909.422,2251074.172,4416239.109,2155881.969
Q8BWT1,1052347.016,157852.5469,1507955.688,673034.5625,2504628.25,220218.5313,NA,1468101.563
Q9ET01,6437003.859,1917817.891,7883130.125,9784293.75,7822497.969,6394686.219,9719381.797,8910905.953
Q9EQU5,35960191.75,15078403.7,31694117.81,51736488.16,44218850.34,28848506.33,55824416.14,38294434.16
P34914,5838258.711,4029461.969,5820239.922,7567083.172,9903921.266,8305879.445,16338010.45,3804956.781
Q9CZ42,6056824.188,2223101.32,4431982.5,5724061.625,5058366.297,3380831.578,5408519.938,4370416.406
Q542V3,2392188.859,1102455.406,2546460.375,3104897.453,2893051.016,2931412.391,1708529.641,1853275.625
Q3UXL1,3025638.492,3517904.633,4553633.25,6462246.297,7865706.305,7090404.797,13217318.31,3312277.203
Q9WTX6,2259179.875,749557.6484,2185957.141,4674458.906,2920298.813,2358049.789,4930810.031,3887451.047
P35505,1612856.266,585406.5859,2369747.641,2372441.188,3765638.688,2173620.313,3658032.906,2670577
Q9D0A3,7799854.391,2963347.805,10622953.75,17986109.63,7564031.578,6527376.656,16266449.88,10947990.38
P14206,40454296.75,13976215.7,33180024.69,43352561.38,48685858.19,35689854.44,52502006.06,34151566.69
P70202,3562939.313,9628193.938,4067592.094,7479724.281,4992220.922,15037680.5,6241746.656,5111195.375
Q9DAU7,6650015.313,12763343.88,17336844.88,25989932.91,9460023.375,18358034.81,20910322.63,35966041.75
Q9CR51,3304703.719,1714923.859,3955964.266,6565672.297,4675598.766,4416929.563,8014672.656,5285092.18
P11859,9368831.125,6261478.156,11173515.63,17887622.06,9168824.188,11481340.06,12447959.81,10776958
P70697,2282126.672,764601.0781,2042132.813,1915641.125,2090287.75,1224438.125,3601751.438,2584136.031
Q3UEB3,4077665.219,1203887.313,7096719.328,7355485.781,2558082.25,3185369.156,5351916.5,4277052.125
Q9JKX6,1281838.781,538913.5547,1204316.141,1764192.844,1949069.203,1038268.906,2098392.781,1194273.375
Q9Z185,41994236.61,17642708.56,36717492.59,33718066.81,39767415.73,25013074.61,37168850.03,27333935.86
Q60829,50381005.3,19281807.89,83689078.18,57971892.16,42251681.36,59082509.88,55667511.2,111423794.7
Q60737,1930185.825,1101346.797,3653954.258,4085694.371,1715715.078,3465590.278,4125806.808,2041050.914
Q9CWZ3,4218178.688,1763183.625,3859139.313,7505700.75,4447910.281,3901685.281,7457848.125,4710494.656
Q8CGA0,951784.5381,249302,682474.4668,1667421.465,879336.3008,1206175.347,3543698.91,1673873.16
Q9DBZ5,2997438.563,1254127.172,2632560.5,4366119.531,3925457.188,7371456.906,4816577.25,2056346.844
P03987,4894759.313,3613203.125,9632145.25,10363070.94,5705475.547,7600665.188,14267647.53,9652926.344
Q91XU3,1826762.547,755078.2031,1838153.438,2205849.781,2339893.219,1300924.203,2589465.672,1609366.391
P01837,8753800.436,4514693.661,17295363.56,26150301.86,14637614.36,20613991.03,52858978.23,32313871.13
Q9QYC0,1564308.188,901469.8672,1411430.672,2262529,1958680.844,942846.7344,2809522.313,1749627.789
Q9CXA2,1696825.047,548195.5234,2002333.531,2783235.531,1819902.438,393801.5781,2238367.125,2417918.094
Q8R1F1,5792628.402,2502876.117,7328781.891,9109830.172,5637581.266,4631423.415,6306805.813,6381199.359
E9PUM4,166400.5469,102938.8125,580517.5156,3984875.266,NA,307836.4375,695268.0938,1186261.719
Q6PDI5,2002563.348,1775578.23,1701299.406,2085313.859,1672641.438,1351462.867,1352217.027,1516700.613
P62317,5451815.766,2810683.719,7591093.547,10212623.81,6887123.844,8128914.25,15086745.66,9556398.875
P46638,31180257.56,12954757.81,31806690.63,56389913.38,32461104.25,29499951.31,71178952.31,46480151.5
P45700,431384.9063,3089259.125,1203603.148,459117.0547,626319.2188,2190170.922,683872.7344,940174.75
P49710,2043824.875,1163537.406,3455918.813,4593158.781,2696741.25,2857508.781,7061060.094,3633291.438
Q99LD8,12444871.5,4950434.844,14602107.84,23798581.94,14125533.56,13168643.25,24924322.47,18697189.96
E9Q7G0,308743.2344,NA,1072977.703,637735.625,206169.9854,77720.05176,806001.3438,309677.9375
P16110,5105824.039,4528978.094,10122033.47,10231268.59,5654655.406,5969056.492,11339344.63,8248972.656
Q9CQM5,20192414.2,7803602.82,20296712.34,27606342.31,31870635.41,14280691.66,26691216.38,25235727.5
P05202,7093673.406,2709120.688,8359593.094,8862779,9892201.188,6196551.719,8922786.688,9320280.688
Q07968,1860462.984,649722.4609,1953992.547,4768311.781,2033634.531,2663139.547,3142254.641,2571129.516
P99027,32530105.44,11668303.63,25414668.42,34143355.5,25245613.56,21159528.56,39418895.13,25686057.25
E9PX96,4236944.932,1650770523,15154801.43,9237168.938,5185269.004,1536719602,10638207.97,4086936.625
Q64213,3715830.594,1508236.18,3783779.031,4041807.547,4307501.703,3023620.883,5764680.547,2452342.266
P47811,2063933.625,599303.2969,2236083.375,2697134.344,2049129.555,1550289.188,2968026.531,2374482.898
G3X8U3,7803312.125,3149199.922,6371652.813,9907860.125,11833199.94,6082460.938,9393440.547,7832308.313
Q3UZ39,2175072.773,1291542.672,2442399.203,3588672.859,2672977.188,3076607.766,4031097.609,2664876.359
Q62376,5991430,2632647.047,8094997.438,12406002,7462401.672,5759265.055,9630579.219,8446621.484
Q9Z204,6994971.891,3449400.141,5548019.844,7758339.469,6709793.266,4775749.563,7613488.438,3789648.125
A2AJB7,148971.2656,26394174.52,459220.4688,NA,220858.9688,10954170.82,406091.625,103362.5625
Q62348,20185753.69,13354833.44,26335998.38,43391623.5,26426522.81,31491889.88,55069282.19,41685700.5
Q9CYG7,3514980.922,1507920.969,3918861.953,4641114.656,4658923.547,3066975.016,5035220.406,3858004.453
A0A0R4J050,3663154.43,1686142.895,3035897.086,4287300.25,4124055.086,2303178.828,4474953.688,2577397.844
Q8VBW6,3927421.391,1515700.445,4615200.281,7442665.969,5371870.969,3548637.344,7678303.078,5561738.234
O88545,8977348.875,3051216.859,6305558.344,10612474.84,10404714.15,6413303.047,10642541.47,7624014.031
P46467,5585666.141,2453579.945,7181876.219,6177066.969,6484495.984,4230593.469,6697006.055,5475759.484
P39447,859192.6758,537031.8008,3049833.363,3958068.039,2005454.152,2044950.035,2689191.547,3803417.422
F8WIP8,NA,977119.5469,NA,NA,343820.0625,824398.0156,172528.3594,4456404.219
P35279,16749524.5,5276514.418,23869710.72,17535651.44,16600132.19,11571684.14,19265210.72,15971349.44
Q9CQI6,232559764.5,98955705.13,201890136.3,678283713.2,107051836.5,248191678.5,403421282.3,587346934.4
Q62384,1152622.922,310470.7813,612716.5234,2629427.086,1478842.984,1349409.438,2602475.938,1562804.109
P28654,15402231.78,5650008,16648718.28,16693363.73,18717531.66,11565144.98,16062827,12109805.55
Q62189,3169708.938,971701.7344,3524701.25,4915147.063,4089246.188,1837830.781,4983414.938,2900384.875
O35640,3068428.844,1946394.43,9299319.375,18849844.27,7004278.375,4264544.594,5138328.922,15880650.11
P49722,13017874.23,9413092.176,13813731.36,22190365.98,19382672.45,17621163.55,21798316.97,20535585.72
P48428,15294899.59,8076603.344,15323990.89,19850436.14,17869913.86,15733847.73,15404922.03,13427974.52
P42232,3738273.688,2701738.406,4664470.898,8500443.75,5517899.797,8417467.344,6177281.422,7830670.031
Q9WUM4,4890228.094,2108353.773,6618428.938,12901545.34,6077337.008,4974344.5,5243013.703,6090952.922
Q80YC5,2666306.734,1506694.828,1829679.688,2932183.719,3170447.734,2297096.281,2704647.5,1838684.297
Q6P8I4,2585960.469,1523128.477,1736177.891,4132117.391,2767551,2627445.625,3898351.844,2032675.625
A0A1B0GSU0,2842976.719,1329308.594,4099354.375,4690215.063,3849019.453,2584961.281,4840023.625,4746737.5
Q921K2,2203175.688,80863.67969,1988748.406,3626584.211,2779028.344,2110205.906,4460576.25,3279245.688
Q9R1P3,12200579.13,6703216.047,15023279.88,9838488.859,15157013.97,12104226.81,10519498.53,8570204.844
Q78IQ7,872346.1563,1647862.438,580052,2792332.188,1622852.938,2207799.75,5703593.125,3108967.063
Q91YQ5,3470132.719,1130319.719,1616124.719,4444707.281,4072249.281,1989329.5,2524633.172,2138157
Q9QZ88,12809934.47,4009228.414,12443391.94,19908960.19,14908053.16,11609810.83,20525081.25,13144704.44
E9PY39,36423781.09,17154507.08,41079821.13,45635172.59,34035027.84,41712784.28,59577671.09,47904513.59
P13439,4239906,1893127.438,4159935.32,5619126.594,4939199.383,4593279.375,8007162.625,4002321.523
P40936,17989613.19,11580402.15,27463855.94,39303861.41,29145336.75,23531357.97,48275538.38,69050316.19
A0A0A6YY53,3085336.688,2026604.742,10871473.33,12193970.03,5004724.195,10017363.94,47443064.5,30651099.88
Q8BUR4,1488097.266,387680.4336,1735330.398,2882383.445,2233589.594,1376778.359,3049127.641,1737926.484
Q91V89,8456787.406,2803828.836,9766036.469,22433038.77,10745352.24,12142373.25,13523885.23,17605131.52
P28843,1565073.752,1726247.877,2662244.172,3919009.063,1971719.18,1566955.063,4874321.156,4496873.563
Q91VK1,10495832.93,3984806.195,7663547.07,7285200.07,12980418.3,7944326.844,9309306.109,5320115.969
Q9JM14,6119825.031,2445273.547,9590068.813,11946614.03,10935513.19,6005834.969,10491948.31,8626072.141
P63054,28484508.95,13988061.02,39391351.43,82366579.16,28418107.86,24259630.05,64005419.19,53012608.06
P30275,8253604.625,4331346.234,10263996.31,12797236.55,10240624.97,8942823.438,14995848.91,13638105.85
Q99JT9,2475740.469,1738777.188,3137362.969,2328212.547,4177994.25,2555306.219,3994572.656,2194033.031
Q8K182,3281013.188,779548.1641,1769557.375,2976333.766,5905775.453,3059802.625,5421743.406,4049522.922
Q8BH58,1752262.688,796347.0156,1780570.438,4588823.375,3443557.828,1509723.75,4432174.281,3213119.844
Q04750,3713893.805,1313538.943,2835211.927,3788980.572,4058046.523,2393766.428,3257743.75,1909849.67
Q8BIW1,1144489.516,296340.4922,1358165.078,2499942.813,1820630.063,1196327.555,2401177.375,2232503.094
Q8K3H0,11431311.74,6463595.94,9945150.703,10409957.7,2688201.867,2705042.328,9748105.258,8902486.719
Q9Z2K1,49593273.42,23367219.31,72706269.81,152542527.7,32251171.82,53083226.34,98625695.31,103464258.1
Q5SUT0,4807741.219,832293.5313,4305580.031,6993635.969,4722820.688,1378427.563,6720335.031,3820647.75
P48024,2037886.281,666339.1875,1493512.328,1693494.484,1735032.594,1148716.844,1485726.156,896061.6875
