Accession,luminal protein estrus
E9QPE7,0.5074744350000562
Q8BTM8,0.5097376581519001
E9PVG8,0.5059396507475892
P07724,0.7310585786300049
P01027,0.5109431504985064
Q9JHU4,0.5050264030504563
Q921I1,0.5302004695238248
P26039,0.5024524655721372
Q8VDD5,0.5034628941144336
Q61838,0.5068822290618227
Q80X90,0.5018317466048502
P19096,0.502091740861437
P08071,0.5028898371978632
E9Q616,0.5053243052320591
Q6PDN3,0.5019061875881801
Q64727,0.50306514957845
A0A087WSN6,0.500995722190685
Q68FD5,0.5013947737631352
P57780,0.5013907115206521
Q01853,0.5028758235608287
P63260,0.5366133501289696
P58252,0.5067878900693508
Q3U2G2,0.5014370280339304
F8WIT2,0.5050396452265475
P28665,0.5026396247336687
Q8VHX6,0.5005229380656574
P11499,0.5075774597175639
P20918,0.5021040570578946
P63017,0.5055577049459131
P06909,0.5019684823620001
P13020,0.5065375116996175
Q6URW6,0.5070682717824985
P99024,0.5040520569959951
P21614,0.5031209698080509
P10126,0.5102202496874312
G3X8Q5,0.5209529064209777
Q02053,0.5016815786248507
E9Q0B5,0.500753287718485
Q9JKF1,0.5010405608374592
Q62261,0.5014866069754632
P05064,0.504230560549204
P16546,0.500484141405054
P52480,0.5040912906358624
A0A0R4J0I1,0.5064924407251521
Q9D1A2,0.5044185798289622
P24527,0.5012396580857512
P26040,0.502736821323398
Q8CGC7,0.5008619516166504
P37804,0.5046788928221859
P15626,0.5090500075914328
P27546,0.5003867743302757
Q91X72,0.5054233493424062
E9Q5I3,0.5002321536086267
Q61879,0.5009019820701542
O08677,0.5023604550350711
Q9DBD0,0.5004808828569174
Q8K0E8,0.5025909547855317
Q9D7Z6,0.5008989287263842
Q8VCM7,0.5014146264613484
P23116,0.5029582863953134
P08113,0.5015389084106439
Q9CWJ9,0.5011257889508169
O08553,0.5005986049931385
Q8BFW7,0.5004675222376145
Q61768,0.5002984756004955
Q8CI94,0.5009316648378488
Q9Z1Q9,0.5005549143746425
A0A0A0MQF6,0.5081359456465397
Q00897,0.5115708600703497
P30416,0.5014467263036999
P97449,0.5009956316101539
Q04447,0.5027285879980079
