,IU_1.5preg_n1,IU_1.5preg_n2,IU_1.5preg_n3,IA_1.5preg_n1,IA_1.5preg_n2,IA_1.5preg_n3
Gsta3,4.0939674735776554,4.369434709676961,4.14618077719134,3.379427168249373,3.2058587872979403,3.1838115397514994
Gm4956,0.40372368459289454,0.49096826814223926,0.3799675892950042,0.16257433750265426,0.050774384631327385,0.05161384368257488
Khdc1a,0.14877167014427295,0.1508148928387238,0.08637628881490021,0.0,0.0,0.06879474040735298
Khdc1c,0.0,0.0,0.0,0.0,0.0,0.01721140461998657
Khdc1b,0.0,0.03783778584439465,0.0,0.18045396002287395,0.025395372140716552,0.06879474040735298
Kcnq5,1.819398718469447,1.7012880228469844,1.5229006886503558,2.019592620873848,2.251558374545744,1.9875090996788813
Rims1,2.141551522022447,2.0017087239637372,1.55833055974945,0.8539620673288348,0.3959428583630849,0.22193295869930837
Mir30c-2,0.0,0.0,0.04322840321106,0.0,0.025395372140716552,0.0
Ogfrl1,3.76952251367188,3.5692690642157454,3.7097796707911237,3.6973343764749926,3.6287720557177923,3.6024867326843695
B3gat2,1.4976160474230504,1.3944254608323137,0.7660601034823535,1.125659623873286,0.8006186579603256,0.8051735824553203
Smap1,4.50900508044515,4.314800185158838,4.441931018045378,4.145020427806508,3.9948842260123762,4.039853872991279
Sdhaf4,3.4888553819066668,3.6342442419052543,3.645323675789701,3.4814743461419897,3.6381612869794995,3.7274854435897486
Fam135a,4.436685015669263,4.510801630106814,4.513617239541133,4.6304165215919415,4.550657865441891,4.655638771234149
Col9a1,0.0,0.0,0.0,0.0,0.0,0.10309082593674401
Col19a1,0.2624368202641815,0.0567397732173626,0.0,0.12666547172017237,0.0,0.08595538842380422
Lmbrd1,5.007032093696593,5.064854438434911,5.014460138758046,5.56040284561158,5.687929881796813,5.6387606227207
Adgrb3,0.11587910055589942,0.03783778584439465,0.12936447898853534,0.14464305399061453,0.0,0.01721140461998657
4931408C20Rik,0.0,0.0,0.0,0.0,0.050774384631327385,0.03441771330484361
