,IU_Finnerty_Estrus_n1,IU_Finnerty_Estrus_n2,IU_Finnerty_Estrus_n3,IA_Finnerty_Estrus_n1,IA_Finnerty_Estrus_n2,IA_Finnerty_Estrus_n3
Xkr4,1.6706102427406313,1.2583743999652903,1.1873588524253427,0.5273451129979396,1.4635866769262642,0.6817694764191939
Gm19938,0.0,0.0,0.0,0.0,0.0,0.023734097738066867
Rp1,1.7012232937785643,1.3981199642371545,2.260802366365457,4.405519321565019,4.674303712324538,4.807622233860827
Sox17,6.167656637595305,6.31056991646948,6.730722671479737,5.544791396663956,5.328223186980577,5.509981978940221
Mrpl15,4.06653081364434,3.9311815288278296,3.969790872406224,3.993479844643417,3.94594793851352,3.9738360325515703
Lypla1,4.667477203638271,4.329015408012341,0.0,4.542557306151419,4.590814987669183,4.381482148958342
Gm19860,0.11369441521222068,0.15347204269197626,0.14112089734472744,0.0,0.2253124930926522,0.04745483904659163
Tcea1,4.800117730748968,4.703447998886694,4.876650805915494,4.891971148851276,4.9575794916673726,4.854946640870082
Rgs20,0.6856157242769344,0.7887328359833583,1.0294820688472235,3.191906252751113,3.1514996771032298,3.521350578242885
Atp6v1h,4.993838240880261,4.748944608139701,4.820038877825375,4.9887774934577145,5.071835822490903,5.020218319137261
Oprk1,0.0,0.0,0.035390054696854405,0.17348499933881656,0.05047272216344353,0.0
Npbwr1,0.467074065937812,0.7495502482850864,1.3003524763874894,2.494292149839884,1.8589676439623637,2.828018781175299
Rb1cc1,4.873311913208749,4.940246731864778,4.899852306076302,4.976425439351266,5.102394023326531,5.261363692310806
Alkal1,0.0,0.0,0.0,0.0,0.0,0.04745483904659163
St18,0.2259514962969404,0.0,0.07073588179125875,0.0,0.05047272216344353,0.0
Pcmtd1,5.899294721892171,5.657850392416403,5.672613151216637,5.4257909601329954,6.008901235848881,5.611972305130643
Sntg1,0.33548962902320095,0.10253704520958629,0.34697051975115006,0.674229410554942,0.7190701838528842,1.408495043971339
Rrs1,4.531829704966626,4.085805644740845,4.4305148740023315,4.15440355579241,4.534452058566026,4.181020567636165
Adhfe1,3.460112355570634,3.4824886370733505,3.8634744710125193,3.5340131797729426,3.7239894307696892,4.370739174622819
2610203C22Rik,0.9190056695001011,0.7887328359833583,1.1161690115889382,0.6022372134310614,0.7966628572931279,0.6430992456236289
Vxn,4.031774485956336,3.8294857010699563,3.401695610518035,4.279404848629672,4.783550908657832,3.7685715717214188
Mybl1,1.9187233435176256,1.4334368103719464,1.309295124745851,1.2325502986714651,1.7874525134339259,1.5129849193425295
Vcpip1,4.624273636712804,4.494561197157975,4.443495714892572,4.332689605424055,4.574809731394594,4.353795125926848
1700034P13Rik,0.2811309521678458,0.22910336028781142,0.10599374865669833,0.11597752084120833,0.15090902301745615,0.04745483904659163
Sgk3,4.791171401257174,4.729180592007854,4.685792983009415,4.269699795386434,4.32683030302589,3.765280197343945
Mcmdc2,0.5672657508672075,0.22910336028781142,0.7708858511246138,0.05808617759581425,0.44010196139758784,0.458493075187726
Snhg6,3.1838550348434933,3.110704049404425,3.0087124107299434,2.6887934624370082,2.688614541264235,2.603340321733899
Snord87,0.08535097285070306,0.025676382633527485,0.08837851092040189,0.05808617759581425,0.10081743530634124,0.0
Tcf24,0.49256686447633496,0.6681768814050074,0.7708858511246138,0.991662814572101,1.7874525134339259,0.9124221136953191
Ppp1r42,1.1519932316285424,0.5607664484229469,0.8368700976489045,3.3564597445424544,3.127492344824996,3.6289266107464013
Cops5,4.721648054358465,4.430001624419384,4.595288989167562,4.939259221439705,5.015836266347416,5.08836933948936
Cspp1,4.239938371306644,4.046193641093631,4.273883656102701,5.170754797342464,5.160844266990064,5.35263078448627
Arfgef1,6.205617762933207,6.085700357710157,6.029647178752123,6.2243215775264815,6.344537239631214,6.4952771035220405
Cpa6,0.19809599597316357,0.05133585693004986,0.0,0.0,0.10081743530634124,0.04745483904659163
Prex2,3.0008739625250778,3.438984136522824,3.3754382198801802,2.489515398516717,2.7924152994024656,2.332500431488957
A830018L16Rik,1.5955980185139786,1.4334368103719464,1.5564093455221408,4.035431364795333,4.00561096403548,4.325319918229349
Sulf1,4.378435660463385,4.926561975315937,4.886583964016055,4.6809995654002226,3.9748028953140557,4.797491010686977
Slco5a1,3.6337455509491923,2.944642823008869,3.1002650808604644,2.7681553415583986,3.295870732484535,2.044471266992328
Prdm14,0.0,0.05133585693004986,0.035390054696854405,0.0,0.05047272216344353,0.0
Ncoa2,5.336722800281021,5.44558779950888,5.563936282663073,5.576532058237973,5.61196674808187,5.680998146583081
Tram1,5.9431413345329425,5.952137163942571,5.732269307591577,6.200676148932694,6.168511428711746,6.069531858470107
Lactb2,3.5275457868937785,3.3761227547354524,3.4099080070389567,4.292994475157001,4.189821534554065,4.2131401784660865
Xkr9,0.05693898712227472,0.0,0.0,0.11597752084120833,0.0,0.14194085740134768
Gm5523,0.11369441521222068,0.1788002115220763,0.15862246860394372,0.08706821982314317,0.0,0.0
Eya1,0.17008798335430372,0.10253704520958629,0.14112089734472744,0.2304307196621735,0.0,0.23518905258862657
Msc,0.2811309521678458,1.9493880713038674,1.577642995193726,0.7877455325384211,0.10081743530634124,0.7007795776241693
Trpa1,0.0,0.05133585693004986,0.017697797411868783,0.0,0.0,0.0
Kcnb2,2.995204230131562,2.09615603678056,2.2824773194218433,1.1683899936161077,1.7874525134339259,1.067281704867776
Terf1,3.5474132936260294,3.5287097424223144,3.5734093206532367,3.662671283594776,3.5443559609146282,3.7685715717214188
Sbspon,3.8469613835600156,4.028072070124661,5.137786837299734,2.024363501026991,1.346813311499177,2.7555410970850454
Gm7634,0.0,0.025676382633527485,0.0,0.0,0.0,0.023734097738066867
4930444P10Rik,0.5672657508672075,0.6259708529478506,0.600422051573713,2.450469161796897,2.5956319171932862,2.825217616584579
Rpl7,7.494506433952431,7.621237466322221,7.616806063132502,7.207375317384319,7.18172236541973,7.343269472373266
Rdh10,5.768506066916981,5.61519054611314,5.51513405488783,4.203344522085194,4.770369512998303,4.651425889526987
Stau2,4.366213585076994,4.361641361453077,4.348422528571554,3.8472738692631676,3.8356758711141734,3.765280197343945
Ube2w,4.511394060124535,4.620000344863359,4.605601776822675,4.407645595008857,4.385117768344539,4.398551201900285
Eloc,4.231697752181091,3.9230906011255255,4.036330008746302,4.1378521327802495,4.067980890096465,4.138797006441765
D030040B21Rik,0.05693898712227472,0.15347204269197626,0.10599374865669833,0.05808617759581425,0.29851177233040777,0.3038740083870037
Tmem70,4.6604948015153775,4.52283676490185,4.707114955103787,4.410473613840775,4.270594819340617,4.066648273093204
Ly96,2.6124315971860916,2.848565139966416,2.419404905847928,2.4603725106692202,2.2135101290802606,2.2166190052559203
Jph1,1.8769682536411592,2.0051931299820627,2.278896618476419,1.636050565159182,1.441181657226936,1.696139245897403
Gdap1,0.6392100433428748,0.37624791616156306,0.5703305217000612,1.1847540740446745,1.6656257759575273,1.9627602449934065
Pi15,5.216578944514672,4.264726385512118,4.630755433928514,2.9071169355901354,4.173631280172222,2.6643707567181014
Crispld1,3.5241958854416247,4.041693922954062,3.688597407289597,3.612233182514471,3.0938014064516124,2.699929163820474
Defb44-ps,0.0,0.0,0.0,0.0,0.0,0.0
Tfap2d,0.0,0.05133585693004986,0.0,0.0,0.05047272216344353,0.023734097738066867
Pkhd1,2.4553656461882443,2.0709734176155092,2.3448696584604556,0.17348499933881656,0.5302378251043228,0.7381523141420676
Il17a,0.0,0.0,0.0,0.0,0.0,0.0
Il17f,0.0,0.0,0.0,0.0,0.0,0.0
Mcm3,3.4760816223535373,2.854477958285034,3.0104537032164553,3.086411382215829,3.063659291867691,2.5963259400683842
6720483E21Rik,0.2536357101417965,0.30347094578841305,0.8876015449845172,0.8309279979876585,0.8523637389564626,0.9124221136953191
Paqr8,4.738739825290336,4.995274935209763,4.585229892103505,5.483927409745112,5.723578061672884,4.951455764981545
Efhc1,3.750044085984261,3.767387722490952,3.9671154072630985,5.717103282647455,5.754289076296269,6.0806660114138245
Tram2,2.5480761246720856,2.2463339080259157,2.2497900022660327,1.7497605438318211,2.092050491720465,2.0323120990666506
Tmem14a,3.05855098745285,2.8949227490933755,3.072847547417539,2.956534910472271,3.0589406854806906,3.360484604181517
Gsta3,3.477840375329104,3.3458633393220025,3.952950645522425,3.6277874904088665,3.657255133165894,3.3304063951004723
Gm4956,0.08535097285070306,0.10253704520958629,0.41293367569210215,0.05808617759581425,0.17582226105124224,0.14194085740134768
Khdc1a,0.05693898712227472,0.05133585693004986,0.035390054696854405,0.11597752084120833,1.548934750307961,0.04745483904659163
Khdc1c,0.0,0.0,0.0,0.0,0.025244395991862765,0.04745483904659163
Khdc1b,0.0,0.0,0.0,0.0,0.025244395991862765,0.09480323068514838
Kcnq5,1.7881178608001231,1.5331357136243904,2.1032407223659657,2.6069276044965934,2.905976327645646,2.515776650022633
Rims1,1.7788067953351019,3.071096820913516,2.2236237473583906,0.3420066429334571,1.0708685086925334,0.5009787094756026
Mir30c-2,0.0,0.025676382633527485,0.0,0.0,0.0,0.0
Ogfrl1,3.589153545656019,3.601299729731051,3.7627456664889403,3.9608201461930554,3.657255133165894,3.7685715717214188
B3gat2,1.3477896528460662,1.3739463191760364,1.6455659187052836,1.1847540740446745,0.9910030553008592,0.9921212373622701
Smap1,4.779276656096182,4.391330738423929,4.494588302091527,4.3250293955536305,4.3570457603978445,4.0779686805000654
Sdhaf4,3.438416211138934,3.1640867609245062,3.292268594131052,3.436167152024234,3.4302482052393044,3.6008325168988584
Fam135a,4.478320413099587,4.5071010306072585,4.632823294825,4.73449075629292,4.769941400715441,4.650972560294013
Col9a1,0.0,0.0,0.0,0.05808617759581425,0.0,0.0
Col19a1,0.08535097285070306,0.15347204269197626,0.19347659839691597,0.0,0.05047272216344353,0.04745483904659163
Lmbrd1,4.698048940496175,4.963125412568542,4.977917871304135,5.459495101037236,5.342576252001282,5.664841506281392
Adgrb3,0.3084206964186604,0.15347204269197626,0.22810022638635832,0.2586414953074637,0.5953744410142474,0.04745483904659163
4931408C20Rik,0.05693898712227472,0.0,0.0,0.0,0.44010196139758784,0.0
Gm7846,1.4908659990857769,1.6245338442028556,1.5420208155798505,1.4715556321757495,1.3219458682933805,1.408495043971339
Gm9898,0.11369441521222068,0.0,0.0,0.0,0.0,0.0
Phf3,5.5441658257854325,5.516172692069973,5.686874602582295,5.699554284198043,5.715625904697084,5.709406692189393
Ptp4a1,4.610203537041299,4.412099559956562,4.467745243582086,4.242514984316357,4.2797237695696175,4.15976111985956
4931428L18Rik,0.0,0.0,0.035390054696854405,0.0,0.0,0.0
Lgsn,0.05693898712227472,0.05133585693004986,0.035390054696854405,0.0,0.0,0.0
Dnaaf6,0.0,0.0,0.0,0.0,0.0,0.023734097738066867
Khdrbs2,0.0,0.0,0.0,0.0,0.0,0.0
Prim2,3.0176937197344302,2.8777879044256878,2.8565972570101454,3.229347322751368,3.41378132046018,3.587797203167541
1700001G17Rik,0.2259514962969404,0.4237503754446667,0.7159837257610487,1.3081520217948703,1.2965303090776925,1.7614783077888367
Rab23,4.192891347787715,4.039888354571483,4.329486394622458,5.549323330989326,5.444666343801272,5.675478781134738
Bag2,4.345013195107354,4.108841313962265,4.446818442021588,4.845996595797758,4.753100452072426,5.105497233042748
Zfp451,3.835962235917891,4.052459443964497,4.030689131534648,3.8583682441526483,3.7715645697603577,3.959457611454721
Gm15455,0.3084206964186604,0.20401541914933005,0.22810022638635832,0.20203863317416118,0.025244395991862765,0.07114893499146073
Bend6,0.7083506428233098,0.7495502482850864,0.7573384289133593,0.11597752084120833,0.15090902301745615,0.3489216783075351
Dst,7.651815776743931,7.543456845406328,7.686765797109505,7.391475426801811,7.8903744758362295,7.21809621122792
Mir5103,0.028481028656245362,0.07696161449925921,0.14112089734472744,0.14479067991943215,0.15090902301745615,0.04745483904659163
Ccdc115,3.904813166067191,3.581499155002831,3.855269701477115,3.5558080741234424,3.7610555669685044,3.6599233414127643
Imp4,4.045822218014161,3.943196577877811,4.018038821215323,3.937307124168184,4.054063780049249,3.87448798267609
D1Ertd448e,3.053198413026493,3.309053723770787,3.3117857290781165,3.0179153171408317,3.1186180634935554,3.230606133529866
Ptpn18,4.57970380183752,4.631570580215507,4.179353226082863,3.0065091901823418,2.5956319171932862,2.761535054592807
Prss39,0.05693898712227472,0.05133585693004986,0.035390054696854405,0.0,0.0,0.0
Cfc1,0.11369441521222068,0.2540504041943831,0.600422051573713,0.3420066429334571,0.32258791343796855,1.7849805255159725
Prss40,0.0,0.0,0.07073588179125875,0.0,0.05047272216344353,0.23518905258862657
Amer3,0.08535097285070306,0.05133585693004986,0.2965141681279119,0.2304307196621735,0.27426641431162263,1.3638130865989377
AA619741,0.05693898712227472,0.0,0.14112089734472744,0.05808617759581425,0.32258791343796855,0.04745483904659163
Arhgef4,3.9562389826565414,4.280479895227952,4.338768319582917,4.486576465849897,4.2797237695696175,4.591181188146466
Fam168b,6.091508027006746,6.19390694271913,6.196588225744939,5.9995096980057045,6.038239263051471,6.100974887924739
Plekhb2,6.364911257947631,6.244313328694883,6.149962202306102,5.988786644967866,6.088284399642549,5.8851468874067505
Hs6st1,5.831116967309674,6.019025838697038,5.967536912016842,5.96116542454651,5.735062769024238,6.0192207960855555
Uggt1,5.867722826511075,5.845709304963551,5.638817359404557,6.022590656050035,6.024166646876226,5.614570764890646
Neurl3,3.9873519821898595,4.722352592288942,4.026279691674826,3.3380810290026672,2.9331417709306744,3.5544467743327495
Arid5a,3.9562389826565414,4.12888150679832,3.880415586126358,3.327723140170398,3.5616940697008093,3.531117108252997
Kansl3,5.2343479920588845,5.380578938988036,5.46442728097813,5.538183395303491,5.448367092129504,5.640190631810249
