,IU_0.5preg_n1,IU_0.5preg_n2,IU_0.5preg_n3,IA_0.5preg_n1,IA_0.5preg_n2,IA_0.5preg_n3
Xkr4,1.0757933657936456,1.3988082880538983,1.3713030281930925,0.7037664291210802,1.1376313198166763,0.7585249444444979
Gm19938,0.0,0.0,0.0,0.08471160319374335,0.09979119792505538,0.0724048808931401
Rp1,1.2746725042323077,1.852244514532567,1.3920408326309923,4.525825355502823,4.756675356748814,4.611830050097997
Sox17,5.93077622927187,6.025857514845497,6.058944560255437,5.5657171716541205,5.354289012185877,5.434371087877099
Mrpl15,3.7177305729616625,3.7937082172967282,3.8719459937975302,3.978762926982604,3.7504098257968326,3.878609806942005
Lypla1,4.397956825127131,4.419205502579586,4.386142762140498,4.608601213337723,4.500982190282608,4.67797490260843
Gm19860,0.11751530286983566,0.42587250919658876,0.21772257336419926,0.1688228265527283,0.3273138697240801,0.14443362426149042
Tcea1,4.6281688438279565,4.7403899193850565,4.706805660870787,5.003531883860028,4.810735008441267,4.8924255498304134
Rgs20,0.27148662644394983,1.2918154566773141,0.7248470966416676,2.8589947307242434,3.217380636710979,2.9982832672608106
Atp6v1h,4.84589197690232,4.8106924641050695,4.794794654458968,5.196600927528755,4.995474781825395,4.975341680991861
Oprk1,0.0,0.036563767799741784,0.0,0.08471160319374335,0.19860559388341112,0.28595939546991084
Npbwr1,0.6257999471097038,1.173992880139543,0.8568141490989664,2.38538998945407,2.4858599140551068,1.9796213838757954
Rb1cc1,5.096290031930309,4.985621694155086,4.941743742456294,5.168995011526236,5.178007830868775,5.113480505518171
Alkal1,0.0,0.0,0.0,0.0,0.0,0.0
St18,0.15640944524648034,0.14577086188476812,0.04387527698807904,0.08471160319374335,0.0,0.0724048808931401
Pcmtd1,5.546066286086877,5.566127837560503,5.50016018423659,5.40516836827661,5.481890480097567,5.487037244433345
Sntg1,0.30914798884479555,0.32347638593258266,0.4657596130411527,0.41228513543848694,0.9500280168460411,0.7585249444444979
Rrs1,3.9941280645569925,3.986247504871294,3.9078264723243956,4.422428468081778,3.9974950576566215,4.169097390578446
Adhfe1,3.280111226816007,3.1854771542481948,3.1372935643375963,3.26425506103401,3.593061857678894,3.407175793876776
2610203C22Rik,1.1902926825854225,1.15317681897832,1.061751880790142,0.5634071840928533,1.0982674830885986,0.7304410522209913
Vxn,3.628055452142688,4.149960053444248,3.987402725029743,4.056554965050156,4.403180663445712,4.511200056068294
Mybl1,1.8380074392846097,1.8961123032373228,1.841051144733235,1.6321124008709968,1.7750106890973936,1.620033356805209
Vcpip1,4.668768477456958,4.540962855474357,4.566594209828825,4.62785297494277,4.504672687650653,4.581874092042984
1700034P13Rik,0.19507043807911006,0.1818555474767919,0.34427362528024685,0.08471160319374335,0.06658871622444458,0.03622615642902577
Sgk3,4.9759309541512176,5.046711419480075,5.132891802713119,4.471108271752906,4.151381523956112,4.429983653531431
Mcmdc2,0.30914798884479555,0.9728465671185879,0.8568141490989664,0.25177053456415477,0.1658337025180237,0.3887118084747841
Snhg6,3.0636357370984486,3.176376145131349,3.345957713282308,2.4381866602056097,2.4465397841991643,2.551967340078774
Snord87,0.07844350491142545,0.07307876719393222,0.08766637565023491,0.08471160319374335,0.06658871622444458,0.03622615642902577
Tcf24,0.45525436123430374,0.42587250919658876,0.260383815694,1.0349040608730624,0.5969665022941675,0.7018568637946195
Ppp1r42,0.7211009289264966,1.2343672492680542,0.6182038785281959,2.6070513889794538,3.3016886452505285,3.033703698176372
Cops5,4.516244595578124,4.480694006507586,4.422616591696701,4.878115802902534,4.813984852662418,4.899468952888524
Cspp1,4.042128815468883,4.120716064660522,4.099672879180355,5.0238239102046816,5.2942381258736235,5.019876418680061
Arfgef1,6.367181647490402,6.245033546278893,6.312033018818262,6.468204148526059,6.500360263029562,6.523220649962362
Cpa6,0.0,0.0,0.0,0.08471160319374335,0.06658871622444458,0.0
Prex2,3.200313840354717,3.1548138708887357,3.1103172232342953,1.8866696273128984,2.435019845642633,2.4138667986229523
