,IU_2.5preg_n1,IU_2.5preg_n2,IU_2.5preg_n3,IA_2.5preg_n1,IA_2.5preg_n2,IA_2.5preg_n3
Xkr4,1.1393648975362956,1.3814320400453237,0.8840844993475021,0.4280877881307105,0.5443003902269519,0.5324670529560139
Gm19938,0.0,0.016648246043367787,0.113826484347551,0.06299878921839493,0.0,0.0
Rp1,2.0507683142389195,1.9130818255456703,2.372558207602098,4.817126896197289,4.925381998647301,4.954973490456839
Sox17,7.204096404580953,7.076326588431157,7.302767643588968,5.502545369681754,5.579610903145108,5.426231772241353
Mrpl15,3.8668653036560707,3.846702962619176,3.9126097686750363,3.852091510392409,3.857649178561128,3.8605798332276713
Lypla1,4.527942591266226,4.514670302913007,4.526723369238001,4.375047074461567,4.410230053518299,4.435866856873129
Gm19860,0.26820151604807063,0.1492860119012024,0.13646299662117795,0.10487509378326618,0.36274511687838557,0.042908916234119465
Tcea1,4.905593797763089,4.79314529647549,4.827104126286735,4.972085556702118,4.967544720769213,4.943819440246215
Rgs20,1.0579621684955778,0.7831905003110969,1.4161239411015858,3.3597223626926427,3.323229095800418,3.305027825993793
Atp6v1h,5.010441301046255,4.870627775337252,5.027454552077389,5.0874614713743895,5.1194682746874856,5.111987984405849
Oprk1,0.0,0.0,0.0,0.22913799927881032,0.12327184519395692,0.11421043629611084
Npbwr1,1.7082468061620997,1.282887143538503,1.4470625697442276,2.6196992488784816,2.7593409903250445,2.6832950819822132
Rb1cc1,4.98322914408108,5.014054378667054,4.979670289909611,5.25170667310727,5.296902447764079,5.302994222840788
Alkal1,0.0,0.0,0.0,0.0,0.0,0.0
St18,0.20219090897772263,0.033291880027404026,0.0,0.0,0.030891158692209583,0.05719825232771548
Pcmtd1,5.598699852026144,5.650505775196491,5.614313729718483,5.465372840456313,5.504571966191217,5.439984902214809
Sntg1,0.31159960052679775,0.37413749566017207,0.5432451600628192,1.4698546269704198,1.5709790247105646,1.643317351772624
Rrs1,4.216287783684213,4.2650986541264615,4.278160160676519,4.011715453999616,4.268505481364403,4.251843463956532
