Accession,luminal protein 1.5
E9QPE7,2.4882134112870298
Q8BTM8,2.6372808773530023
E9PVG8,2.2790170056436114
P07724,4.179208082785815
P01027,2.7235772163909964
Q9JHU4,2.242515269223188
Q921I1,3.2462920017647456
P26039,2.0049370199379846
Q8VDD5,2.1104018488736704
Q61838,2.502729660549286
Q80X90,1.7819090959612884
P19096,1.8011782945445818
P08071,2.4016649690951595
E9Q616,2.5186766143886694
Q6PDN3,1.846164578735365
Q64727,2.146476482361739
A0A087WSN6,1.5358033225186978
Q68FD5,1.6495564330348624
P57780,1.711702995922113
Q01853,2.004006210520804
P63260,3.2632443097921495
P58252,2.509686085199958
Q3U2G2,1.6518336217555587
F8WIT2,2.235105740546074
P28665,2.0104426497843555
Q8VHX6,1.2231581112791583
P11499,2.4996235340984754
P20918,1.8678876782557283
P63017,2.30009374831843
P06909,2.0941821058289527
P13020,2.4091934892176097
Q6URW6,2.5955271138341507
P99024,2.2047068215977355
P21614,2.1545342728533443
P10126,2.569311585884178
G3X8Q5,2.9766095144943456
Q02053,1.7104061312421857
E9Q0B5,1.6274208621310813
Q9JKF1,1.5605768045995825
Q62261,1.6693209558841908
P05064,2.2727774469015514
P16546,1.2958084208916292
P52480,2.2349127659071257
A0A0R4J0I1,2.499377069614364
Q9D1A2,2.0080842623224613
P24527,1.5279611668985016
P26040,1.8463499483524355
Q8CGC7,1.4468461076158594
P37804,2.340098795789692
P15626,2.638681824226919
P27546,1.0377121101598874
Q91X72,2.432236865726545
E9Q5I3,0.8064013174404894
Q61879,1.382889483566116
O08677,2.0051844095765774
Q9DBD0,1.2347541568374059
Q8K0E8,1.961591020245563
Q9D7Z6,1.3085381506528424
Q8VCM7,1.731183389779367
P23116,1.7724207760891098
P08113,1.5784344577860228
Q9CWJ9,1.5265616999207676
O08553,1.2850926037361865
Q8BFW7,1.2646200773667207
Q61768,0.9332842425526559
Q8CI94,1.5039262160309814
Q9Z1Q9,1.1267447266220165
A0A0A0MQF6,2.5455909177399216
Q00897,2.835784775579591
P30416,1.5687622530649523
P97449,1.29972105146523
Q04447,2.0937367936917566
A1BN54,1.3502000703293955
Q61598,1.601663501148672
P17563,1.6847575251233255
P06728,1.984439462983662
Q922D8,1.8164882807059817
Q8CIE6,1.2739938659952847
P27773,1.930200584555851
Q00612,1.6991137455336098
P17182,2.527931964881031
E9PV24,1.808084854361688
Q61781,2.2603933552706477
P60843,1.651810988808327
P09411,2.178546808816578
Q9WU78,1.097004313635668
P62259,2.1573397694471277
O55029,0.9480292885543685
Q8VCT3,1.2438639891647372
Q922U2,2.4076487196560112
Q8BND5,1.032798958707561
Q6ZQ38,1.646816201821386
P10649,2.4231160372667206
A0A0R4J071,-0.15356918457991442
Q922B2,1.3656052889504775
P20029,1.7609962845179365
Q78PY7,1.3510020035165828
P45376,1.6768257180388695
P42932,1.7064054899591634
P40142,2.0512655604916215
P80318,1.4826845948657277
P21981,2.0260285453286677
P26041,1.5795896818675212
B8JJN0,1.4746217444720258
P40124,1.6495741344553008
A6X935,1.0687279430461576
Q9D0F9,1.3535344362203785
P05213,1.9501296360836662
P19221,1.1587919417264683
Q00623,2.7663799873989885
O88342,1.6129248863043213
Q99K51,2.014988831293678
Q3UU35,1.6503735269107938
Q9QXS1,0.9429714501040724
P07356,2.0462351482138392
P17751,2.06596142259626
P35700,2.2195302210108414
Q61702,0.9904142395733592
P07901,1.8397674768825103
Q91WT9,1.21382864491385
Q3V117,1.1739286623179577
O88569,2.8286807024109457
P24549,1.3929115117368545
O09131,2.249931479867635
P63158,2.0420313861644623
P11983,1.003348343417711
P19001,2.3270913374929676
Q543K9,1.5928734003237395
Q3UPL0,1.0039967867216697
Q11011,1.2936610509980324
Q7TSV4,1.3527656685434113
A8DUK4,3.138692505473452
O70209,1.579337579839089
P80313,1.3615888194123913
Q76MZ3,1.3360639636441791
E9Q557,1.129923527751773
A0A1B0GSX0,2.2663117608611625
P60335,1.3532962189573392
Q8C1A5,1.1426630708199657
Q9DBJ1,1.9167652778362496
B2M1R6,1.5834493964088778
Q9CPY7,1.404535683524078
Q501J6,1.1335353312393222
O35639,1.4302026745765124
P56399,2.0894665477298955
P10107,1.8951697340396636
Q9DCD0,1.8521627222219494
Q9D8E6,1.1877147074547838
E9QA15,0.9791125120143424
Q64737,0.9337623932232999
P29341,1.2067397353162037
Q9QZE5,0.8796699022350719
Q5SUR0,1.2106633090181826
P01029,1.7138961637246388
P70441,1.523612545084699
Q99JY9,1.4702623242754964
O89020,1.300128229221614
Q9Z1Z0,0.8688569312107959
Q9CWK8,1.185592586385297
Q61699,0.9431134245020398
P10605,1.132700139659058
Q99KC8,1.16999014154745
P23953,2.252353900364474
P20152,0.8698116628272644
P47856,0.9502517026592981
Q61233,1.4556698812468971
P12658,1.8034290221484124
A0A087WS16,0.7056013055631685
P00920,1.6967819458866134
E9PWE8,1.2847979985908422
Q8JZQ9,0.911944259517584
P50580,1.395821535296824
Q3U1J4,0.8061777802288604
P17742,2.394139688045776
P62960,0.6179402824707644
Q02257,0.8081710660191771
P14211,1.433549862090166
P09405,1.6377632953861219
P48722,0.7447439406562218
Q11136,1.050697722946856
Q61696,1.525963923089719
Q8BZF8,1.0235449129479683
P46471,0.824582406817228
P06745,1.7296665842432881
Q8BGQ7,0.9684608359841709
P50247,1.7199676097731365
Q6GT24,1.6169979884472294
Q8R146,0.5947653076365081
Q8BL66,0.9918781136592059
Q80T06,1.3032425163352273
P80314,1.3036859387993056
Q91VB8,3.0502983599698896
P28271,1.180710346861497
P06684,0.6059240887039115
P32261,1.7086843714439939
P08003,1.268560515115016
P19157,1.962656781312121
O70570,0.9537729514427017
Q62523,1.1760337029963088
E9PYH0,0.29118620836421716
P62962,1.8861632321566775
P10518,1.2996797531281012
Q8VDM4,0.8714956589664407
P97447,1.4582495220211151
P62908,1.2525178243174393
Q9D0I9,0.8452918928420655
Q8BG05,1.33622179305084
O88844,1.5941170676912626
Q00519,1.3215046839802393
P63101,2.020596951978796
Q9CZ44,0.8412479267449922
P48036,2.1882196726322256
Q60864,1.3205181212204071
Q9EQK5,1.0171770157658873
P50446,1.722014937156797
Q8VDJ3,0.7987768682467803
P26645,0.9045436461790309
P47754,0.8754209326270321
P68040,1.3124701292701326
P29699,2.084871624413982
Q3U0V1,1.0016478508803268
A0A498WGD8,0.7942953426269449
E9PZF0,1.806025651691952
P48758,1.402579827945073
P07758,2.39470898764497
Q60854,1.3368861007849506
P80316,1.4681972408876232
Q60710,0.9636063189332581
Q62318,0.8296772000840711
P05063,1.9213898769079016
P09103,1.5364162396240713
Q3TXS7,0.9478674140373292
P97429,1.2349559007664919
A2AMW0,1.2749003534176995
Q8CIB5,0.9730364949473508
Q3THS6,0.6908537327786988
Q08642,1.3154848605456546
Q9WVA4,1.65676665040498
P11352,1.4025626409171243
Q9CPX4,1.408709332589957
Q9JHR7,0.9472684845315381
P50396,1.041394397746323
Q80X19,0.8313617247222524
Q99PL5,0.8389927441379256
Q8R1B4,0.8548119798747442
Q9QYB1,1.8725842763797442
A0A6I8MX27,1.6690822075747966
Q8BU30,0.6864282164436943
P97371,1.5199392623514976
Q9CPV4,1.199065510859542
Q62010,1.7604742790243035
A0A0A6YVP0,1.4691380912569905
Q6A0A9,0.24640867825483714
Q9R098,-0.04670621484764881
O08529,1.795324036762678
O70133,0.3432522382284746
Q8CIN4,1.2207810329608224
O08739,1.0347633301391692
Q8R0Y6,0.6092651664229084
P18760,2.091746539199204
P12382,0.747748264763648
B2RQC6,0.6349769090843478
Q7TMY8,0.4156262324757118
Q9D0E1,0.28371700193961125
Q3UW53,0.9242574537370845
Q03401,1.2517571858727587
P00342,0.43081892650840276
P55264,1.45055664220639
A0A7N9VSW1,1.0073340229551273
Q9QUI0,0.7765097810263749
P80315,1.2917563344389904
P15105,0.9666102054994966
Q8BJY1,0.8622787240298451
Q9D819,1.1976180746747997
Q19LI2,1.1691429881306257
