Accession,luminal protein estrus
Q08642,1.5460592827067712
Q9WVA4,1.5105446996218412
P11352,1.4611819003161297
Q9CPX4,1.2812549917126654
Q9JHR7,0.9392415063506531
P50396,1.0448858279118518
Q80X19,0.8807892501225993
Q99PL5,0.9121251015799859
Q8R1B4,1.0431440655939308
Q9QYB1,1.7992681059058602
A0A6I8MX27,1.5830946962289472
Q8BU30,0.8741809952781467
P97371,1.5087080563746955
Q9CPV4,1.2528112432465313
Q62010,1.3475858874085327
A0A0A6YVP0,1.1169391571650495
Q6A0A9,0.40827180820264797
Q9R098,-0.14772302920798838
O08529,2.007777964246199
O70133,0.5163846944322462
Q8CIN4,1.1670428855974426
O08739,1.0245668838726982
Q8R0Y6,0.6975088872054066
P18760,2.152766286292348
P12382,0.7262738218714286
B2RQC6,0.6139050631050343
Q7TMY8,0.46527538974014176
Q9D0E1,0.5461974849171995
Q3UW53,0.8120201583092039
Q03401,1.1854615173132115
P00342,0.2653538321894178
P55264,1.4774223860356128
A0A7N9VSW1,0.7783004011911165
Q9QUI0,0.9393309194720504
P80315,1.232601806800149
P15105,1.0885879262118716
Q8BJY1,0.8654291346018945
Q9D819,1.20423258154091
Q19LI2,0.5447240918261493
Q9JIF7,0.976662526574838
G3UXX3,1.101485633032841
Q91WQ3,1.2185246515396018
Q99KQ4,0.576209287226227
P18654,0.7152418719182222
Q3TVK3,0.8610222898306523
P51125,0.41632359562953897
E9QK48,0.9162900731634143
Q9QUR6,1.06526422906171
P14873,0.3184853969508532
P70296,1.8862833326909643
P68033,1.602374426306851
Q91ZJ5,1.4103646727646784
A2A513,2.4487516657927495
Q5XJY5,0.9450375984842742
P68510,1.5408852232638974
P28798,0.39036641203780176
Q64514,0.3347637115010069
Q8K183,1.6408811059517159
P62715,1.3844080099229361
Q8BG32,1.3802210404284412
Q9Z2X1,1.5236361816050068
Q8CI51,0.6864045317705262
P01872,1.3878262645002235
O70400,1.0907109072637013
P03958,0.899597374941162
Q5SQ27,-0.4563181149290793
Q91X52,1.5953885102052539
Q91VI7,1.5531906868713017
Q01279,0.5425019174943029
Q07076,0.9996487347573596
P56959,0.976855641697505
P68254,1.2408784909576906
P16045,1.5519515999152258
B2RU69,0.5645772195447745
Q61129,1.1052325469959943
Q07797,0.7653217529338617
Q8BH64,1.6065569277818934
E9Q7Q3,1.0549832679260096
P97351,1.3575608512096573
Q9JK81,1.7799631293025497
P08228,2.1185398725295173
P80317,1.3201040130718749
Q93092,2.2388165904993564
Q61171,1.3740066760212617
Q9Z0S1,0.8037464568110537
Q6ZWX6,0.8789682418172718
P05201,1.2938436917871654
Q8BHN3,1.0007358671339501
E9Q3M3,0.638977463685228
Q99KJ8,0.5602567311199153
Q9Z2U1,1.1613367403920891
O54990,0.1516303225342262
P62141,0.9712366164057205
Q8BH61,0.5581427823377825
Q9Z0N1,1.1382578143405253
E9QN99,1.3562586598409014
P03953,1.4885228023589223
Q9JII6,1.5656712976672198
Q8C3V4,1.9793696099778044
Q9Z1N5,1.1897778930920497
Q61133,0.8034393057505653
P47791,1.1474295617786443
P62192,0.985499702854541
P27659,1.127465882322038
P39054,0.8058971145076341
Q01339,1.16773077642364
E9Q9E1,0.3424340615473196
P46935,0.660130332991201
Q8R016,1.1541861066144077
P62242,1.1986099432337765
Q61792,0.9753058422132458
Q9D8N0,1.316585414801125
P19324,0.5583246053793
G5E924,0.672771580756673
Q9Z1F9,0.7225666084225927
Q9R0P5,2.0535036868757692
P97315,1.753405546484964
Q3THK7,0.5749605491358032
P12970,1.3055557939469697
Q60973,0.7389859036533573
P39654,0.8360186355835183
P61161,1.337502269915854
O88544,0.7572840281756974
Q63844,1.3614308840828826
Q99K85,0.8318620378284132
A0A0A6YXL6,1.5412677570769002
Q99KK7,1.2103737447846405
Q61703,0.871393353759851
P97494,0.8613297190710247
P70398,0.12278635128797048
P49312,1.343697424538267
Q99J77,1.0896389083184272
Q61362,-0.9468850564198127
P08249,0.531630561279632
O08997,1.8226556639392875
E9Q555,1.0418610570798643
Q9JLJ2,1.165680086491422
P26883,1.2072052861692852
Q91VR5,0.8292451014429844
Q99PT1,1.715762514713283
Q9ERK4,0.8352112406444243
Q8BKC5,0.9665025505550559
Q80UG5,0.7951009496999322
P16015,1.372113103013533
P62196,0.7011619626213291
P11679,1.4103608683807
P32921,0.8517687352961324
P47199,0.6342932834897377
Q9JHU9,0.8475282355946233
Q924B0,1.1602351326471725
Q91WT7,1.277364959829119
Q8BPB5,0.14754049581120715
Q9R1P4,1.374592258664292
Q62418,0.5924855128129216
Q9EQP2,0.554713483653987
Q505F5,0.45910256748826933
Q05816,0.7389265637419921
Q9CX34,0.4524711450014472
Q9CQ65,1.2247783506544248
A0A0R4J2B2,1.121688760064451
P00329,1.8210355492939099
P51859,1.3767097076012933
Q3UM45,0.7480670456926061
Q61176,1.0094461902896783
Q5FWK3,0.9099591256709219
Q8VEK3,1.0981871865110726
Q6PDL0,0.09755209383557442
Q61753,0.351093862116594
P08226,1.041903342759403
