Accession	luminal protein 2.5
G3UXX3	40734059.91
Q91WQ3	34422012.96
Q99KQ4	9276714.938
P18654	13019554.82
Q3TVK3	23881453.64
P51125	12502079.97
E9QK48	27999869.63
Q9QUR6	31179579.63
P14873	12209625.5
P70296	218084028.1
P68033	129138806.6
Q91ZJ5	55028181.02
A2A513	1480356545
Q5XJY5	34339524.13
P68510	110610804.5
P28798	11521159.17
Q64514	6221977.406
Q8K183	154060000.4
P62715	110384854.2
Q8BG32	94863494.02
Q9Z2X1	97526574.5
Q8CI51	31078016.13
P01872	100343550.9
O70400	41791889.2
P03958	10494352.22
Q5SQ27	43381895.58
Q91X52	80963430.22
Q91VI7	97974198.69
Q01279	6401107.063
Q07076	21487198.09
P56959	37534240.34
P68254	60984270.84
P16045	132607361.3
B2RU69	14517888.28
Q61129	50363979
Q07797	7239643.273
Q8BH64	84354749.88
E9Q7Q3	49907585.83
P97351	61306185.47
Q9JK81	253009983.1
P08228	468557847.1
P80317	48943737.67
Q93092	589527080
Q61171	83868993.63
Q9Z0S1	32974021.76
Q6ZWX6	21949913.94
P05201	103603083.3
Q8BHN3	23587512.66
E9Q3M3	17057785.34
Q99KJ8	9267897.031
Q9Z2U1	52514772.52
O54990	10812347.56
P62141	32600472.11
Q8BH61	12440315.23
Q9Z0N1	31796678.5
E9QN99	57684199.66
P03953	111089261.5
Q9JII6	105529156.2
Q8C3V4	275801420.3
Q9Z1N5	46251692.91
Q61133	13711868.03
P47791	48938682.03
P62192	25935927.98
P27659	30863245.66
P39054	14518274.2
Q01339	57626311.47
E9Q9E1	10323459.37
P46935	17061386.59
Q8R016	40569613.83
P62242	52309574.02
Q61792	27153472.18
Q9D8N0	48624430.03
P19324	15589926.77
G5E924	21223319.17
Q9Z1F9	19345885.16
Q9R0P5	361236672.1
P97315	201868954
Q3THK7	12793460.06
P12970	54118115.28
Q60973	22216887.94
P39654	22256858.44
P61161	60985708.01
O88544	21256179.72
Q63844	62529785.41
Q99K85	22226101.88
A0A0A6YXL6	75933919.3
Q99KK7	45405286.3
Q61703	27111190.58
P97494	22215367.59
P70398	6618717.453
P49312	102503029.7
Q99J77	49410461.2
Q61362	713097.5
P08249	9280663.719
O08997	240930993.1
E9Q555	38718200.17
Q9JLJ2	34636090.81
P26883	64425730.5
Q91VR5	27540996.72
Q99PT1	198087443.1
Q9ERK4	25034440.02
Q8BKC5	30275860.18
Q80UG5	20705059.3
P16015	83989448.84
P62196	12310074.38
P11679	142841894.4
P32921	20043252.53
P47199	18226188.69
Q9JHU9	27857192.09
Q924B0	41832749.31
Q91WT7	46757980.65
Q8BPB5	12339722.41
Q9R1P4	57852792.31
Q62418	9781037.406
Q9EQP2	13674562.09
Q505F5	9651432.313
Q05816	20845475.63
Q9CX34	12160685.41
Q9CQ65	53090771.06
A0A0R4J2B2	58443417.13
P00329	195757367.7
P51859	84940942.94
Q3UM45	17933424.16
Q61176	15750015.36
Q5FWK3	28696380.73
Q8VEK3	38442347.38
Q6PDL0	3994698.156
Q61753	10419938.84
P08226	30830773.5
Q9D662	15466136.25
Q9D0R2	37522882.03
P11680	8586968.813
Q08879	12508672.28
O08692	119973.4531
P97384	16431205.72
O35643	32627479.75
Q8C1B7	21829051.34
Q8VC28	16236892.75
Q640N1	12593487.25
Q6GQT1	2509045.648
O89053	38059318.11
Q5RKN9	21199190.47
Q9EQH3	38365486.58
O08797	19121529.56
Q62465	16033868.31
Q6NZD2	24968684.75
Q9JKB1	20454542.73
Q8K0C9	145016393
P63005	25002703.11
Q61035	23655149.39
O35350	11850161.41
Q99LX0	107398446.3
P48678	15839141.66
P11247	2138108.875
E9Q912	7198968.813
Q8K3V4	10796519.13
P27612	9089397.281
Q9D154	47815169.83
Q91YI0	22639136.9
P26638	19960607.5
P07309	619764224
Q9CVB6	25766365.41
P46664	23181882.55
Q8VCU2	30141752.91
Q9DCT8	82348103.88
Q9DBF1	53116893.33
Q8C2Q7	19260123.92
P34884	104376792
P14685	11887344.51
P70460	9950511.609
Q3UZZ6	18608739.72
P08752	36758618.88
E9PYN9	752105.7813
Q9R0N0	17330938.09
E9PVU0	15212779.3
P14602	71395994.05
P70663	4409719.809
P62702	21243798.86
P62983	430949735.2
O55137	71072133.86
Q99LF4	25150028.44
P09242	63385.11328
Q9EPC1	40328116.23
Q9CZD3	14860736.89
P97372	57911745.02
P42703	159186301
P29351	9537031
P97290	40365510.44
Q9R0P3	59832697.52
Q9Z1Z2	16503834.53
P47962	76986821.8
Q9JHW2	29804368.23
Q9WV32	58670492.38
P06801	16338593.23
P24369	28793287.27
P21460	4420105.875
P60122	8908616.563
Q99JI4	15870498.8
Q9WTM5	31649360.39
O70194	14068572.75
Q99MN1	31095644.13
P10810	734185.125
Q8BMJ2	7310114.297
A0A0R4J039	89030377.5
Q8BK64	18690096.38
G3V018	7805130.266
Q8BP47	28453219.38
Q8BK67	10842517.53
Q8VIJ6	28817589.68
Q3UE92	14123720.3
O35685	22595242.02
P50516	21824723.5
Q9D8W5	14063978.8
E9PUD2	6747425.938
Q61553	13088346.94
Q05D44	72249029.61
Q91WU5	7991319.984
P41245	2180896.781
Q8BVI4	59166029.22
P0DP27	202949562.5
A0A1W2P6F6	213052397.6
Q9Z0E6	44326793.03
Q99KI0	9883222.094
Q7TMB8	19863473.78
Q9Z0U1	14582360.09
Q00915	61081124.84
Q9Z1Q5	75088583.5
Q9JKR6	6330286.563
Q64471	83398788.25
Q64442	14136504.97
Q8R3B1	6553845.375
Q3UDE2	7788955.328
Q61823	15580556.09
P62334	24596992.42
P70168	24360969.27
Q68FL6	6633160.969
Q06890	21131359.5
Q6ZWQ9	67154082.14
Q3ULJ0	88062950.66
Q62433	5239033.969
Q9CQT1	18214653.44
Q921W7	21695421.89
Q9CZC8	21997403
P70349	90129216.84
P25444	26895434.14
P48774	20195851.47
P31230	33313913.3
Q61166	62938035.67
Q9QWL7	151044545.6
