Accession	luminal protein 1.5
E9QPE7	537212211.9
Q8BTM8	734938830.7
E9PVG8	346051013.9
P07724	18797506947
P01027	881137414.5
Q9JHU4	320488459
Q921I1	2644270070
P26039	194487969.2
Q8VDD5	242765453.8
Q61838	553859828.1
Q80X90	121690924.7
P19096	126721947.4
P08071	447840376.8
E9Q616	572743480.6
Q6PDN3	139292054.5
Q64727	261893459.4
A0A087WSN6	72535819.8
Q68FD5	92132794.18
P57780	104992156.6
Q01853	194107747.8
P63260	2740211161
P58252	562019515.1
Q3U2G2	92574935.58
F8WIT2	315534725.2
P28665	196752214.8
Q8VHX6	37591819.75
P11499	550254791.6
P20918	145801003.6
P63017	361729678.5
P06909	234626752.1
P13020	454985048
Q6URW6	673175226.9
P99024	295999909
P21614	266367833.5
P10126	637077352.2
G3X8Q5	1499938799
Q02053	104706287.3
E9Q0B5	87943443.8
Q9JKF1	76413805.73
Q62261	96041767.29
P05064	341541221.7
P16546	43795184.26
P52480	315406737.8
A0A0R4J0I1	549969746.5
Q9D1A2	195779094.6
P24527	71349721.48
P26040	139346349.2
Q8CGC7	60163151.24
P37804	393469029.8
P15626	737106637.1
P27546	25454981.71
Q91X72	477569702.1
E9Q5I3	15652207.85
Q61879	52593890.08
O08677	194589149.3
Q9DBD0	38519537.33
Q8K0E8	177548042.9
Q9D7Z6	44983078.63
Q8VCM7	109381363.9
P23116	119287497.4
P08113	79337164.07
Q9CWJ9	71140105.63
O08553	42819573.15
Q8BFW7	41015687.36
Q61768	20437390.25
Q8CI94	67833978.33
Q9Z1Q9	30694713.38
A0A0A0MQF6	606085824.9
Q00897	1115563261
P30416	77740174.91
P97449	44156919.27
Q04447	234407195.4
A1BN54	49100779.43
Q61598	83307832.73
P17563	99209766.33
P06728	186284854.9
Q922D8	130867120.3
Q8CIE6	41832005.48
P27773	166209179.8
Q00612	102249761.4
P17182	583997121.8
E9PV24	128575386.6
Q61781	332763660.9
P60843	92570530.72
P09411	280160114.6
Q9WU78	28834288.83
P62259	267943560
O55029	21080860.27
Q8VCT3	39264380.5
Q922U2	453509804.5
Q8BND5	25193404.55
Q6ZQ38	91603546.47
P10649	468499399.9
A0A0R4J071	2080076.251
Q922B2	50717057.11
P20029	116456531.6
Q78PY7	49183630.98
P45376	97569106.8
P42932	103829316.4
P40142	214384206.4
P80318	64871319.32
P21981	203306027.8
P26041	79530084.54
B8JJN0	63780950.13
P40124	92136222.95
A6X935	27170125.42
Q9D0F9	49446187.64
P05213	173320977.2
P19221	32834025.77
Q00623	964105370.9
O88342	85303723.55
Q99K51	198641734.4
Q3UU35	92291198.56
Q9QXS1	20857886.27
P07356	212128877.9
P17751	221111215.8
P35700	305369747.2
Q61702	23045583.09
P07901	137431251.6
Q91WT9	36861680.13
Q3V117	33895702.8
O88569	1099025740
P24549	53713797.55
O09131	325524536.8
P63158	210262377.3
P11983	23680840.95
P19001	382854854.8
Q543K9	81782442.69
Q3UPL0	23713146.2
Q11011	43597914.2
Q7TSV4	49366335.8
A8DUK4	2108932200
O70209	79487943.95
P80313	50290601.22
Q76MZ3	47663011.99
E9Q557	30900533.04
A0A1B0GSX0	336929986.6
P60335	49421430.23
Q8C1A5	31739329.53
Q9DBJ1	161580134.6
B2M1R6	80178058.84
Q9CPY7	55042639.39
Q501J6	31136063.95
O35639	58094413.42
P56399	232312196.8
P10107	154408164.5
Q9DCD0	141059688.2
Q9D8E6	34892486.88
E9QA15	22504466.1
Q64737	20457945.2
P29341	36316386.72
Q9QZE5	18258837.68
Q5SUR0	36617191.54
P01029	105477376.1
P70441	70700387.54
Q99JY9	63199062.7
O89020	44194735.36
Q9Z1Z0	17848445.51
Q9CWK8	34737161.81
Q61699	20864112.9
P10605	31081440.83
Q99KC8	33616198.23
P23953	327186600
P20152	17884306.77
P47856	21179587.33
Q61233	61289641.2
P12658	127322997.4
A0A087WS16	12663117.91
P00920	101749729.9
E9PWE8	42793060.32
Q8JZQ9	19540742.92
P50580	54043422.02
Q3U1J4	15644853.72
P17742	440810900.8
P62960	10531789.84
Q02257	15710552.8
P14211	58504665.97
P09405	89876587.85
P48722	13749270.03
Q11136	26159487.98
Q61696	71050756.85
Q8BZF8	24707994.7
P46471	16262067.55
P06745	109033115.7
Q8BGQ7	22006108.69
P50247	106832359.8
Q6GT24	86037328.06
Q8R146	10030957.43
Q8BL66	23116617.34
Q80T06	44485043.77
P80314	44526533.64
Q91VB8	1751276732
P28271	34382434.7
P06684	10269063.93
P32261	104327960.2
P08003	41356882.25
P19157	177946306.2
O70570	21336960.48
Q62523	34046042.75
E9PYH0	5298598.133
P62962	151511960.6
P10518	44153085.55
Q8VDM4	17947736.1
P97447	61622938.98
P62908	39985275.38
Q9D0I9	16985739.34
Q8BG05	47678829.91
O88844	81996554.25
Q00519	46226201.14
P63101	200997643.4
Q9CZ44	16841940.62
P48036	285915741.8
Q60864	46130422.09
Q9EQK5	24379417.36
P50446	107293181.6
Q8VDJ3	15403313
P26645	19239065.69
P47754	18096459.99
P68040	45356470.2
P29699	230078819
Q3U0V1	23596331.81
A0A498WGD8	15258867.63
E9PZF0	128019962
P48758	54816773.13
P07758	441338812.2
Q60854	47745465.48
P80316	62925275.13
Q60710	21782657.39
Q62318	16437188.54
P05063	163158773.9
P09103	72629347.88
Q3TXS7	21073687.27
P97429	38535878.44
A2AMW0	41911803.53
Q8CIB5	22218822.35
Q3THS6	12276524.98
Q08642	45644855.28
Q9WVA4	93540028.11
P11352	54814792.45
Q9CPX4	55527737.8
Q9JHR7	21047168.66
P50396	25652806.42
Q80X19	16495503.78
Q99PL5	16762278.36
Q8R1B4	17329128.57
Q9QYB1	147247767.6
A0A6I8MX27	95993572.58
Q8BU30	12162833.34
P97371	70156501.13
Q9CPV4	35735159.03
Q62010	116328797
A0A0A6YVP0	63049865.13
Q6A0A9	4822553.766
Q9R098	2604053.875
O08529	125171840.2
O70133	5911526.148
Q8CIN4	37404423.88
O08739	25297664.01
Q8R0Y6	10341449.42
P18760	233428428.7
P12382	13836387.77
B2RQC6	10915845.81
Q7TMY8	6883040.656
Q9D0E1	5216044.164
Q3UW53	20053194.8
Q03401	39921384.47
P00342	7106437.641
P55264	60634312.98
A0A7N9VSW1	23880104.67
Q9QUI0	14698847.56
P80315	43423679.47
P15105	21920655.89
Q8BJY1	17603304.36
Q9D819	35626580.88
Q19LI2	33556380.23
Q9JIF7	17273361.02
G3UXX3	27745877.77
Q91WQ3	29546851.25
Q99KQ4	10213578.26
P18654	9677185.742
Q3TVK3	17045628.61
P51125	6823466.828
E9QK48	19094382.64
Q9QUR6	17642629.15
P14873	6719340.609
P70296	124458502.2
P68033	92890012.78
Q91ZJ5	35472759.27
A2A513	300642945.9
Q5XJY5	21878095.13
P68510	70271959.52
P28798	7412050.219
Q64514	6098528.188
Q8K183	80252309.34
P62715	125015883.4
Q8BG32	49014144.06
Q9Z2X1	51633208.25
Q8CI51	32976336.48
P01872	64868101.28
O70400	27299682.3
P03958	10180817.8
Q5SQ27	18927206.83
Q91X52	54421144.61
Q91VI7	58317501.22
Q01279	8200021.766
Q07076	19932177.95
P56959	20468600.31
P68254	35952804.94
P16045	90618059.23
B2RU69	9698737.375
Q61129	31747136.44
Q07797	13066739.25
Q8BH64	95804507.56
E9Q7Q3	29131888.31
P97351	42389195.81
Q9JK81	124352909.2
P08228	252669085.5
P80317	40356724.11
Q93092	396573858.3
Q61171	41509242.81
Q9Z0S1	14578147.13
Q6ZWX6	15501814.72
P05201	54631202.55
Q8BHN3	20354878.51
E9Q3M3	8616488.73
Q99KJ8	6517376.844
Q9Z2U1	34640524.58
O54990	7135462.211
P62141	20322336.66
Q8BH61	12799780.09
Q9Z0N1	32178682.86
E9QN99	31687683.97
P03953	79652493.81
Q9JII6	76733392.86
Q8C3V4	242864481.9
Q9Z1N5	31182399.73
Q61133	9113700.281
P47791	31069428.99
P62192	20954546.84
P27659	21675210.41
P39054	11291841.25
Q01339	39497864.53
E9Q9E1	4793749.299
P46935	11047486.14
Q8R016	24067623.39
P62242	37519078.93
Q61792	22680754.12
Q9D8N0	36817248.64
P19324	6951762.547
G5E924	10288449.02
Q9Z1F9	12040580.13
Q9R0P5	201878166.6
P97315	153097294.4
Q3THK7	8672097.926
P12970	35650722.58
Q60973	12323658.33
P39654	20247206.91
P61161	39406030.68
O88544	10376050.91
Q63844	40428955.15
Q99K85	12145257.11
A0A0A6YXL6	60352261.12
Q99KK7	33920957.76
Q61703	20407200.26
P97494	12716348.13
P70398	3803627.617
P49312	53971148.45
Q99J77	34273954.38
Q61362	1055468.508
P08249	7710402.844
O08997	158596568.4
E9Q555	26635948.05
Q9JLJ2	20779743.33
P26883	42429457.59
Q91VR5	18281219.09
Q99PT1	109133284.8
Q9ERK4	14933100.16
Q8BKC5	31231706.6
Q80UG5	13865054.92
P16015	58437808.94
P62196	12958433.3
P11679	60111623.19
P32921	15651933.72
P47199	10068458.46
Q9JHU9	22021612.5
Q924B0	26969469.67
Q91WT7	32061157.79
Q8BPB5	4635509.984
Q9R1P4	46151883.03
Q62418	8038195.453
Q9EQP2	9843162.297
Q505F5	6640011.973
Q05816	9194153.516
Q9CX34	7330761.453
Q9CQ65	33645449.5
A0A0R4J2B2	25194304.25
P00329	152158743.2
P51859	53474695.78
Q3UM45	10201131.5
Q61176	31257761.97
Q5FWK3	21469413.66
Q8VEK3	26249657.3
Q6PDL0	2317084.234
Q61753	6377209.75
P08226	29408478.28
Q9D662	8657913.672
Q9D0R2	17843428.7
P11680	5541077.148
Q08879	7436142.422
O08692	827308.375
P97384	11483379.72
O35643	21033949.64
Q8C1B7	11442339.03
Q8VC28	9111160.359
Q640N1	10794023.06
Q6GQT1	1650641.352
O89053	32565460.6
Q5RKN9	13735431.91
Q9EQH3	24863384.97
O08797	12793022.48
Q62465	9308110.234
Q6NZD2	13978706.61
Q9JKB1	14509777.06
Q8K0C9	76031328.98
P63005	18575044.31
Q61035	24021090.52
O35350	9136157.344
Q99LX0	65424265.66
P48678	6033514.68
P11247	1136406.563
E9Q912	6297225.984
Q8K3V4	12009944.61
P27612	5902819.461
Q9D154	42034396.05
Q91YI0	13437648.84
P26638	15047800.73
P07309	369093295.4
Q9CVB6	19196185.42
P46664	15937927.77
Q8VCU2	24828986.2
Q9DCT8	43327979.68
Q9DBF1	34121824.41
Q8C2Q7	12233870.09
