Accession	luminal protein estrus
Q9D819	31903448.08
Q19LI2	7831789.648
Q9JIF7	19649841.13
G3UXX3	25633470.32
Q91WQ3	32889426.34
Q99KQ4	8374936.797
P18654	11260876.28
Q3TVK3	15360447.85
P51125	5958047.197
E9QK48	17279088.02
Q9QUR6	23730472.35
P14873	4837420.086
P70296	136352616.1
P68033	74486459.13
Q91ZJ5	49486680.37
A2A513	451739486.8
Q5XJY5	18370005.29
P68510	65344076.75
P28798	5637625.852
Q64514	5008060.281
Q8K183	80852228.48
P62715	46825358.84
Q8BG32	46409683.2
Q9Z2X1	62987251.88
Q8CI51	10590114.44
P01872	47167476.68
O70400	25051971.43
P03958	16675613.13
Q5SQ27	928969.2031
Q91X52	73386484.78
Q91VI7	67079141.75
Q01279	7794813.609
Q07076	20635685.01
P56959	19657924.14
P68254	34493023.95
P16045	66902365.11
B2RU69	8170019.406
Q61129	25838833.94
Q07797	12528262.86
Q8BH64	75152893.73
E9Q7Q3	23216543.68
P97351	44223212.81
Q9JK81	108724737.8
P08228	223602453.7
P80317	40832561.03
Q93092	288881674
Q61171	45799524.02
Q9Z0S1	13596580.64
Q6ZWX6	15958865.45
P05201	38611667.7
Q8BHN3	20683516.36
E9Q3M3	9572724.469
Q99KJ8	8095190.75
Q9Z2U1	29118127.39
O54990	3390706.914
P62141	19424088.23
Q8BH61	8058828.328
Q9Z0N1	27721571.15
E9QN99	44100742.3
P03953	58448913.81
Q9JII6	68885967.34
Q8C3V4	166248822.7
Q9Z1N5	30936312.31
Q61133	13587689.69
P47791	28268368.96
P62192	20023155.05
P27659	27091710.65
P39054	13658997.86
Q01339	29517342.77
E9Q9E1	5090539.621
P46935	10013819.48
Q8R016	28678065.4
P62242	31523706.05
Q61792	19593149.48
Q9D8N0	40527730.38
P19324	8061949.469
G5E924	10287067.62
Q9Z1F9	11437913.42
Q9R0P5	194681584.5
P97315	102746106.4
Q3THK7	8352694.275
P12970	39586858.03
Q60973	11844942.08
P39654	14563913.95
P61161	42373876.25
O88544	12315634.72
Q63844	44589198.7
Q99K85	14435561.61
A0A0A6YXL6	65397331.88
Q99KK7	32323438.91
Q61703	15703484.54
P97494	15370507.89
P70398	3188692.094
P49312	42936641.03
Q99J77	24994843.42
Q61362	326796.9766
P08249	7616419.625
O08997	119073333.9
E9Q555	22576722.15
Q9JLJ2	29388714.11
P26883	32106063.88
Q91VR5	14355333.66
Q99PT1	94830817.06
Q9ERK4	14538893.26
Q8BKC5	19229240.21
Q80UG5	13348532.09
P16015	45615202.47
P62196	10928227.78
P11679	49486279.43
P32921	15060705.1
P47199	9477704.859
Q9JHU9	14925307.4
Q924B0	29049895.16
Q91WT7	37280132.78
Q8BPB5	3361302.422
Q9R1P4	45856675.63
Q62418	8670324.469
Q9EQP2	8000187.406
Q505F5	6526345.016
Q05816	11843445.29
Q9CX34	6434823.727
Q9CQ65	33330384.09
A0A0R4J2B2	26760436.47
P00329	118663205.6
P51859	46063929.94
Q3UM45	12076248.78
Q61176	21070775.27
Q5FWK3	17047682.58
Q8VEK3	25454037.92
Q6PDL0	3021854.344
Q61753	5185292.203
P08226	22578755.36
Q9D662	10530344.66
Q9D0R2	16263638.14
P11680	4414245.906
Q08879	4990051.625
O08692	886253.8359
P97384	10738329.77
O35643	19610367.55
Q8C1B7	11919946.95
Q8VC28	15134402.66
Q640N1	12796839.19
Q6GQT1	4104699.359
O89053	21731079.61
Q5RKN9	11889903.89
Q9EQH3	20014540.1
O08797	10689647.53
Q62465	9629427.125
Q6NZD2	9216135.047
Q9JKB1	12368962.53
Q8K0C9	110573865.9
P63005	19128071.11
Q61035	22832820.94
O35350	11578814.49
Q99LX0	71310899.58
P48678	5484592.688
P11247	3001435.828
E9Q912	5223493.797
Q8K3V4	4052227.004
P27612	5220160.422
Q9D154	31799043.64
Q91YI0	20215951.79
P26638	19975088.42
P07309	278223059.7
Q9CVB6	16910401.62
P46664	13212461.72
Q8VCU2	13355153.77
Q9DCT8	38099770.37
Q9DBF1	44627309.03
Q8C2Q7	12993429.78
P34884	69284385.74
P14685	9555820.109
P70460	7627770.828
Q3UZZ6	12842833.16
P08752	13184262.13
E9PYN9	1517613.141
Q9R0N0	13967258.28
E9PVU0	9174046.734
P14602	81545215.03
P70663	1843047.492
P62702	17161438.98
P62983	165878212.8
O55137	27268941.47
Q99LF4	17886806.66
P09242	4470239.008
Q9EPC1	24672796.47
Q9CZD3	12331712.73
P97372	26318549.87
P42703	185062788.9
P29351	4749191.795
P97290	31037686.77
Q9R0P3	47155592.52
Q9Z1Z2	10176926.22
P47962	43533790.39
Q9JHW2	13636810.48
Q9WV32	30204458.39
P06801	4408413.125
P24369	21432908.08
P21460	2163363.641
P60122	4209249.781
Q99JI4	14166714.44
Q9WTM5	11665006.78
O70194	11947611.23
Q99MN1	19807140.31
P10810	724525.9375
Q8BMJ2	5838482.922
A0A0R4J039	58069678.89
Q8BK64	11319361.08
G3V018	6037645.734
Q8BP47	16017860.05
Q8BK67	6218032.766
Q8VIJ6	15798980.79
Q3UE92	11980170.21
O35685	9348963.609
P50516	17442740.56
Q9D8W5	8045574.684
E9PUD2	3550612.898
Q61553	8849583.523
Q05D44	46470704.95
Q91WU5	5010184.102
P41245	3513361.617
Q8BVI4	31228201.25
P0DP27	154893880
A0A1W2P6F6	122265272.1
Q9Z0E6	22959027.22
Q99KI0	10088051.5
Q7TMB8	9281850.914
Q9Z0U1	8126465.988
Q00915	30196617.61
Q9Z1Q5	53941600.88
Q9JKR6	7889727.609
Q64471	36204529.31
Q64442	5812307.172
Q8R3B1	2942448.844
Q3UDE2	5587272.547
Q61823	12006361.16
P62334	12888496.51
P70168	17345902.94
Q68FL6	4229113.93
Q06890	11486162.18
Q6ZWQ9	38549574.31
Q3ULJ0	55649696.67
Q62433	2363750.125
Q9CQT1	9253377.547
Q921W7	6823181.938
Q9CZC8	7541529.984
P70349	37068556.67
P25444	20676979.05
P48774	17229133.83
P31230	28220871.88
Q61166	32459703.21
Q9QWL7	17908810.03
Q00PI9	29460082.8
O70475	5681711.734
Q61646	3867673.875
A2AN08	5661941.197
P54775	59399538.08
Q9R111	9181669.844
Q6PGH2	7897275.484
P28474	68673865.81
Q8QZY1	11479178.19
Q7TNC4	8488632.719
P99029	53205617.77
O55222	9263416.406
Q8BJW6	1190147.813
Q61730	7091101.316
O35381	46124641.69
A3KMP2	382602753.8
P14148	41293205.89
P06281	2768434.844
Q9WVK4	14164563.97
O35215	32687174.47
Q62167	22480416.66
Q6P5F9	9685043.703
Q9D1P4	5202217.641
Q91YR1	15924164.27
A0A0R4J093	40375943.8
Q6AW46	1810983.531
P24547	6948057.875
Q9CX80	10126713.61
O09061	29219273.92
P47963	25287038.39
Q9CRB6	23792267.76
Q6IFX2	101309562.7
A0A0A6YXW6	2104961.18
Q9CR16	15060540.93
Q61247	20375041.75
P63001	99879240.28
