Accession	luminal protein 0.5
E9QPE7	222733866
Q8BTM8	492794455.2
E9PVG8	3553046793
P07724	10872407987
P01027	1213510956
Q9JHU4	126663761.6
Q921I1	1093271429
P26039	82487380.38
Q8VDD5	160981293.2
Q61838	246257901.5
Q80X90	49557610.82
P19096	84208626.42
P08071	743506975.3
E9Q616	174200997
Q6PDN3	47127832.74
Q64727	87376937.92
A0A087WSN6	34306078.2
Q68FD5	36323679.46
P57780	72760619.62
Q01853	99238815.5
P63260	1509500285
P58252	218791883
Q3U2G2	35456089.38
F8WIT2	157339424.8
P28665	88414630.09
Q8VHX6	15099127.78
P11499	268498739.7
P20918	52601062.59
P63017	175180104
P06909	142438417.1
P13020	184643806.4
Q6URW6	191793280.8
P99024	137670556.9
P21614	109120416.5
P10126	341978039.7
G3X8Q5	748324364.2
Q02053	45930796.67
E9Q0B5	139984321.8
Q9JKF1	96162401.95
Q62261	43597706.64
P05064	203731888.1
P16546	18245806.13
P52480	210362120.8
A0A0R4J0I1	258576592
Q9D1A2	122794331.9
P24527	37590737.58
P26040	91732659.63
Q8CGC7	23295222.71
P37804	169713154.7
P15626	253977207.5
P27546	41569039.37
Q91X72	221474530.3
E9Q5I3	37747397.49
Q61879	38869933.29
O08677	92936726.99
Q9DBD0	16446397.98
Q8K0E8	66519971.25
Q9D7Z6	219884308.6
Q8VCM7	47045887.25
P23116	68260747.89
P08113	36602939
Q9CWJ9	41996938.29
O08553	30289641.91
Q8BFW7	16652642.23
Q61768	8131528.102
Q8CI94	23160763.99
Q9Z1Q9	15795782.4
A0A0A0MQF6	276123538.2
Q00897	499533278
P30416	40241625.08
P97449	91438778.79
Q04447	174056200.6
A1BN54	20204437.81
Q61598	34160366.09
P17563	26761988.23
P06728	77358781.44
Q922D8	75171273.24
Q8CIE6	16149555.9
P27773	119442135.5
Q00612	75510900.4
P17182	281627679.5
E9PV24	61641367.27
Q61781	99609980.49
P60843	59147481.61
P09411	99429299.91
Q9WU78	19419096.98
P62259	105340700.9
O55029	10693241.27
Q8VCT3	19450433.96
Q922U2	217781711.8
Q8BND5	121725783.8
Q6ZQ38	48320456.78
P10649	190702392.7
A0A0R4J071	78033775.43
Q922B2	15442379.17
P20029	49603701.77
